SampleID	Original order	Year	Month	Day	Temperature	Salinity	Chla	Nitrate	Phosphate	Silicate	Ammonium	DOC	TotalN	NP	BacterialAbundance	BacterialProduction	BacterialProduction
20110705	23.00	2011	7	5	16.40	6.75	3.03	0.09	0.07	6.33	0.81	NA	NA	NA	1.22	35.20	2.61
20110707	24.00	2011	7	7	16.50	NA	5.58	0.25	0.24	0.02	0.67	NA	NA	NA	0.53	87.20	6.47
20110711	25.00	2011	7	11	18.00	NA	1.52	0.10	0.17	4.47	0.50	429.10	19.07	112.18	1.62	177.30	13.15
20110723	26.00	2011	7	23	18.00	NA	3.81	0.76	0.12	9.23	0.90	1544.32	22.94	191.17	4.23	NA	NA
20110727	27.00	2011	7	27	18.00	NA	2.15	0.52	0.16	7.24	0.72	434.07	19.98	124.88	6.39	31.90	2.37
20110803	28.00	2011	8	3	18.20	NA	1.75	0.67	0.08	9.84	0.66	431.43	18.89	236.13	6.60	1.90	0.14
20110810	29.00	2011	8	10	16.20	NA	1.71	0.54	0.09	9.22	0.67	507.77	17.90	198.89	4.32	27.70	2.06
20110818	30.00	2011	8	18	17.00	NA	2.04	0.48	0.07	10.07	0.15	1155.32	21.35	305.00	8.95	40.30	2.99
20110822	31.00	2011	8	22	17.00	NA	2.35	0.69	0.06	10.62	0.58	627.37	18.11	301.83	6.00	51.10	3.79
20110825	32.00	2011	8	25	16.30	NA	2.17	0.82	0.08	8.68	1.14	680.27	19.62	245.25	5.80	46.10	3.42
20110901	33.00	2011	9	1	15.00	NA	1.13	0.67	0.12	9.92	0.81	495.09	17.77	148.08	4.24	48.10	3.57
20110909	34.00	2011	9	9	10.00	NA	0.62	0.08	0.20	4.04	0.00	675.78	19.79	98.95	2.86	25.00	1.85
20110912	35.00	2011	9	12	14.00	NA	0.88	0.08	0.00	3.74	0.00	800.95	20.09	NA	4.69	34.80	2.58
20110915	36.00	2011	9	15	12.00	NA	0.60	0.14	0.10	4.75	0.16	586.59	18.69	186.90	1.72	11.40	0.85
20110919	37.00	2011	9	19	12.50	NA	1.02	0.06	0.08	3.57	0.00	489.82	16.73	209.13	1.55	21.50	1.60
20110922	38.00	2011	9	22	10.30	NA	0.99	0.73	0.15	5.35	0.00	481.65	16.57	110.47	NA	24.60	1.83
20110926	39.00	2011	9	26	13.40	NA	1.70	0.06	0.08	4.58	0.00	486.11	17.64	220.50	1.21	64.00	4.75
20110929	40.00	2011	9	29	10.70	NA	1.45	0.96	0.08	5.43	0.32	467.30	17.36	217.00	NA	28.00	2.08
20111003	41.00	2011	10	3	11.00	NA	1.05	0.45	0.00	4.77	0.03	495.87	16.68	NA	NA	52.20	3.87
20111005	42.00	2011	10	5	11.20	6.10	1.27	0.48	0.00	7.09	1.50	476.01	17.09	NA	2.76	40.30	2.99
20111012	43.00	2011	10	12	5.80	6.10	0.97	0.48	0.28	6.66	0.29	501.49	18.76	67.00	2.12	8.70	0.65
20111020	44.00	2011	10	20	4.50	6.20	0.84	0.59	0.41	5.86	0.03	450.90	19.93	48.61	1.49	3.50	0.26
20111027	45.00	2011	10	27	6.50	6.10	1.56	0.36	0.41	9.24	0.67	460.14	18.85	45.98	1.95	9.20	0.68
20111116	46.00	2011	11	16	7.00	6.70	2.35	0.22	0.00	7.40	0.56	405.36	18.08	NA	2.44	13.50	1.00
20111212	47.00	2011	12	12	4.50	5.80	0.43	2.75	2.81	38.92	2.26	367.34	20.85	7.42	1.31	4.10	0.30
20120118	48.00	2012	1	18	0.30	5.80	0.73	2.77	1.30	4.50	0.71	361.92	16.97	13.05	1.63	5.40	0.40
20120314	49.00	2012	3	14	3.20	6.70	0.92	3.28	1.05	5.82	0.36	335.80	17.97	17.11	1.32	7.32	0.54
20120322	50.00	2012	3	22	3.00	6.90	1.63	2.89	1.09	5.73	0.56	346.03	20.04	18.39	1.51	13.77	1.02
20120328	51.00	2012	3	28	3.70	6.50	1.68	2.44	1.37	8.56	0.66	334.31	16.43	11.99	1.56	22.65	1.68
20120403	52.00	2012	4	3	3.10	6.50	3.02	2.50	1.47	6.66	0.92	338.98	16.86	11.47	2.33	16.63	1.23
20120412	53.00	2012	4	12	3.70	6.70	3.60	1.51	0.84	3.52	0.36	336.06	15.43	18.37	2.11	42.93	3.18
20120416	54.00	2012	4	16	4.00	6.70	2.76	0.58	0.70	4.80	0.46	338.39	13.97	19.96	2.36	68.85	5.11
20120419	55.00	2012	4	19	4.40	6.70	1.02	0.21	0.55	18.40	1.29	331.46	12.81	23.29	1.90	90.01	6.68
20120423	56.00	2012	4	23	4.10	6.70	4.13	0.18	0.43	12.43	0.95	336.85	14.36	33.40	2.59	73.03	5.42
20120426	57.00	2012	4	26	4.60	6.60	1.87	0.28	0.40	13.90	1.00	341.10	14.85	37.13	2.13	184.13	13.66
20120430	58.00	2012	4	30	4.80	6.70	2.67	0.26	0.55	13.12	2.28	340.12	13.48	24.51	1.58	93.03	6.90
20120503	59.00	2012	5	3	5.90	6.50	2.44	0.25	0.33	15.17	1.08	341.61	15.54	47.09	1.78	67.69	5.02
20120507	60.00	2012	5	7	5.60	6.60	2.79	0.12	0.35	19.38	0.83	341.61	13.75	39.29	1.98	53.55	3.97
20120510	61.00	2012	5	10	6.60	6.50	2.81	0.18	0.43	21.97	0.37	335.82	14.10	32.79	2.18	112.08	8.32
20120516	62.00	2012	5	16	7.50	6.40	1.50	0.22	0.53	18.01	0.46	345.00	15.85	29.91	1.93	22.07	1.64
20120521	63.00	2012	5	21	8.00	6.50	0.94	0.15	0.58	23.39	0.42	352.63	24.42	42.10	3.60	51.58	3.83
20120524	64.00	2012	5	24	9.10	6.50	1.60	0.08	0.23	12.77	0.42	343.67	16.12	70.09	2.68	128.28	9.52
20120528	65.00	2012	5	28	11.00	6.50	0.85	0.27	0.38	23.49	1.00	339.82	15.26	40.16	2.99	61.71	4.58
20120531	66.00	2012	5	30	10.00	6.50	2.45	0.16	0.23	14.34	0.50	343.22	12.81	55.70	2.96	56.43	4.19
20120604	67.00	2012	6	4	9.00	6.50	2.51	0.49	0.15	10.21	0.05	337.48	25.13	167.53	3.03	55.66	4.13
20120607	68.00	2012	6	7	10.20	6.40	1.68	0.46	0.26	10.06	0.11	332.29	24.50	94.23	2.09	45.84	3.40
20120613	69.00	2012	6	13	12.50	6.50	1.10	0.46	0.15	7.94	0.00	326.99	15.05	100.33	2.51	39.16	2.91
20120619	70.00	2012	6	18	12.10	6.50	1.93	0.67	0.13	10.51	0.11	332.59	15.74	121.08	4.00	47.91	3.55
20120621	71.00	2012	6	21	12.00	6.50	1.22	0.55	0.21	11.57	0.16	333.69	15.72	74.86	4.35	48.97	3.63
20120628	72.00	2012	6	28	12.80	6.40	2.55	0.66	0.18	17.70	0.00	330.97	17.24	95.78	2.63	95.50	7.09
20120702	73.00	2012	7	2	13.70	6.40	2.51	0.20	0.18	11.50	0.00	342.74	14.97	83.17	2.83	238.29	17.68
20120705	74.00	2012	7	5	14.00	6.50	2.61	0.26	0.05	13.92	0.27	349.30	16.73	334.60	2.53	149.93	11.12
20120709	75.00	2012	7	9	16.40	6.50	3.03	0.26	0.18	10.36	0.00	355.43	16.42	91.22	2.15	NA	NA
20120712	76.00	2012	7	12	15.00	6.60	1.83	0.31	0.21	11.50	0.00	349.12	15.51	73.86	3.30	107.04	7.94
20120717	77.00	2012	7	17	16.00	6.20	2.56	0.19	0.15	10.51	0.22	357.90	17.79	118.60	3.11	53.93	4.00
20120724	78.00	2012	7	24	16.40	6.10	2.82	0.25	0.05	22.39	1.37	360.62	19.34	386.80	4.95	89.14	6.61
20120726	79.00	2012	7	26	16.70	6.10	2.64	0.33	0.13	14.46	0.59	358.53	17.83	137.15	NA	NA	NA
20120730	80.00	2012	7	30	17.50	6.20	3.24	0.35	0.15	21.84	0.63	360.67	16.27	108.47	6.76	104.17	7.73
20120802	81.00	2012	8	2	17.00	6.20	2.55	0.20	0.08	17.78	0.59	1710.67	15.80	197.50	NA	64.12	4.76
20120806	82.00	2012	8	6	17.30	6.20	2.59	0.22	0.18	13.10	0.45	456.30	22.40	124.44	5.54	84.40	6.26
20120809	83.00	2012	8	9	16.70	6.30	NA	NA	NA	NA	NA	NA	NA	NA	4.12	74.80	5.55
20120813	84.00	2012	8	13	18.20	6.20	4.21	0.32	0.21	14.87	0.41	382.44	17.12	81.52	4.12	176.97	13.13
20120816	85.00	2012	8	16	17.80	6.20	3.00	0.91	0.15	16.74	1.67	361.90	16.55	110.33	8.31	121.91	9.04
20120820	86.00	2012	8	20	18.40	6.20	2.91	0.29	0.08	12.58	0.54	370.93	17.96	224.50	7.10	150.39	11.16
20120823	87.00	2012	8	23	17.30	6.20	3.54	0.24	0.23	13.83	0.54	471.82	19.77	85.96	NA	85.02	6.31
20120828	88.00	2012	8	28	16.70	6.10	2.51	0.25	0.03	13.21	0.54	367.61	17.24	574.67	3.71	111.29	8.26
20120830	89.00	2012	8	30	16.50	6.20	2.05	0.27	0.11	8.60	1.08	381.40	17.25	156.82	6.95	42.85	3.18
20120903	90.00	2012	9	3	16.20	6.20	2.61	0.26	0.16	7.49	2.16	370.24	19.26	120.38	6.56	NA	NA
20120906	91.00	2012	9	6	15.60	6.20	2.21	0.37	0.16	8.18	3.25	374.71	20.04	125.25	5.45	49.59	3.68
20120910	92.00	2012	9	10	15.50	6.10	2.50	0.36	0.18	8.46	2.60	389.94	17.79	98.83	4.58	54.66	4.06
20120913	93.00	2012	9	13	15.30	6.20	2.10	0.24	0.05	8.25	2.97	367.11	16.25	325.00	7.33	49.65	3.68
20120920	94.00	2012	9	20	8.30	6.40	0.99	0.32	0.50	12.34	1.19	335.46	14.60	29.20	2.12	13.05	0.97
20120924	95.00	2012	9	24	11.20	6.20	1.90	0.23	0.20	11.77	0.70	346.11	14.66	73.30	2.52	14.91	1.11
20120927	96.00	2012	9	27	12.00	6.10	2.08	0.16	0.23	11.59	1.02	351.28	16.13	70.13	3.94	27.21	2.02
20121001	97.00	2012	10	1	9.60	6.40	1.36	0.39	0.43	13.41	0.64	341.71	16.22	37.72	4.31	30.58	2.27
20121004	98.00	2012	10	4	10.00	6.30	1.49	0.13	0.33	12.62	0.64	353.07	15.70	47.58	2.53	NA	NA
20121011	99.00	2012	10	11	8.50	6.30	1.58	0.22	0.33	13.66	0.76	340.09	16.22	49.15	NA	30.65	2.27
20121015	100.00	2012	10	15	9.70	6.20	2.01	0.20	0.30	12.31	0.76	347.46	15.73	52.43	5.32	11.61	0.86
20121018	101.00	2012	10	18	9.10	6.30	1.70	0.27	0.31	13.04	1.53	342.92	15.20	49.03	3.88	14.66	1.09
20121022	102.00	2012	10	22	9.80	6.20	2.16	0.25	0.23	11.50	0.40	348.99	16.99	73.87	3.73	18.48	1.37
20121024	103.00	2012	10	24	9.50	6.20	2.30	0.20	0.26	10.83	3.00	345.26	15.21	58.50	4.50	18.78	1.39
20121028	104.00	2012	10	29	7.40	6.20	2.68	0.24	0.26	11.35	3.06	352.56	15.41	59.27	4.22	16.20	1.20
20121105	105.00	2012	11	5	6.60	6.20	1.29	0.90	0.69	15.16	1.08	337.73	16.38	23.74	3.37	11.89	0.88
20121123	106.00	2012	11	23	6.10	6.50	0.77	1.83	0.74	15.61	1.70	333.80	16.50	22.30	2.06	10.13	0.75
20121128	107.00	2012	11	28	6.60	6.40	1.68	0.75	0.41	9.86	3.17	332.32	16.54	40.34	NA	12.21	0.91
20121206	108.00	2012	12	6	4.50	6.40	0.82	1.27	0.53	13.25	0.99	333.53	16.99	32.06	1.64	90.57	6.72
20121220	109.00	2012	12	20	4.70	6.20	0.73	1.65	0.58	12.48	1.11	329.71	16.46	28.38	NA	8.23	0.61
20130123	110.00	2013	1	23	3.10	6.20	0.38	3.82	0.61	14.25	1.02	346.58	27.52	45.18	2.79	12.05	0.89
20130226	111.00	2013	2	26	3.00	6.20	0.37	3.21	0.61	15.38	0.76	349.40	25.69	42.18	NA	NA	NA
20130403	112.00	2013	4	3	2.20	6.20	2.14	1.92	0.47	14.48	0.53	357.36	24.94	52.99	NA	NA	NA
20130409	113.00	2013	4	9	2.30	6.30	4.06	0.15	0.39	15.74	0.42	354.05	23.42	60.43	NA	NA	NA
20130416	114.00	2013	4	16	3.10	6.30	4.84	0.14	0.39	15.41	0.36	347.47	21.03	54.26	NA	NA	NA
20130418	115.00	2013	4	18	3.20	6.30	3.60	0.43	0.50	15.71	0.36	350.60	22.24	44.63	NA	NA	NA
20130422	116.00	2013	4	22	3.30	6.50	2.45	1.42	0.45	16.87	0.39	345.75	21.13	46.87	NA	NA	NA
20130425	117.00	2013	4	25	3.10	6.50	4.32	0.26	0.42	13.74	0.40	342.16	21.24	50.48	NA	NA	NA
20130429	118.00	2013	4	29	3.50	6.50	4.46	0.21	0.45	12.95	0.48	346.08	20.71	45.93	NA	NA	NA
20130502	119.00	2013	5	2	3.50	6.50	3.14	0.21	0.27	12.24	0.48	342.93	21.80	80.59	NA	NA	NA
20130507	120.00	2013	5	7	5.40	6.40	1.60	0.23	0.24	12.83	0.48	349.42	21.45	89.21	NA	NA	NA
20130513	121.00	2013	5	13	5.80	6.40	1.38	0.38	0.27	11.68	0.77	348.03	20.44	75.56	NA	NA	NA
20130516	122.00	2013	5	16	5.90	6.50	1.27	0.21	0.18	5.02	0.70	351.30	19.27	106.85	NA	NA	NA
20130520	123.00	2013	5	20	8.60	6.30	1.80	0.23	0.18	9.53	0.26	354.87	20.41	111.56	NA	NA	NA
20130524	124.00	2013	5	24	8.70	6.20	1.70	0.20	0.32	11.95	0.37	359.41	20.86	65.15	NA	NA	NA
20130527	125.00	2013	5	27	8.00	6.30	1.80	0.17	0.23	11.01	0.37	355.65	20.06	87.71	NA	NA	NA
20130530	126.00	2013	5	30	9.50	6.30	1.48	0.18	0.09	10.11	0.41	354.77	20.72	226.50	NA	NA	NA
20130605	127.00	2013	6	5	11.20	6.20	1.04	0.19	0.09	8.89	0.37	359.88	20.36	222.57	NA	NA	NA
20130610	128.00	2013	6	10	13.10	6.20	0.99	0.18	0.14	4.75	0.37	361.74	20.59	150.05	NA	NA	NA
20130617	129.00	2013	6	17	11.50	6.20	1.60	0.19	0.23	8.38	0.41	367.71	20.85	91.17	NA	NA	NA
20130620	130.00	2013	6	20	10.20	6.30	0.96	0.32	0.09	8.77	0.46	361.90	21.42	234.15	NA	NA	NA
20130624	131.00	2013	6	24	12.90	6.10	1.55	0.17	0.11	5.25	0.55	365.29	20.89	188.65	NA	NA	NA
20130627	132.00	2013	6	27	16.20	6.00	4.08	0.12	0.11	7.17	0.56	379.98	20.56	185.67	NA	NA	NA
20130701	133.00	2013	7	1	15.50	6.10	2.81	0.22	0.11	7.32	0.56	367.26	21.18	186.23	NA	NA	NA
20130705	134.00	2013	7	5	15.20	6.10	1.78	0.17	0.06	8.72	0.48	371.54	20.90	367.54	NA	NA	NA
20130708	135.00	2013	7	8	17.30	6.10	2.30	0.16	0.11	11.58	0.62	370.08	21.03	184.91	NA	NA	NA
20130712	136.00	2013	7	12	15.80	6.10	2.85	0.20	0.11	11.85	0.38	376.03	20.18	177.44	NA	NA	NA
20130715	137.00	2013	7	15	17.70	6.00	2.46	0.17	0.17	9.52	0.76	375.91	22.57	132.30	NA	NA	NA
20130718	138.00	2013	7	18	18.50	6.00	2.99	0.23	0.06	8.26	1.14	388.23	22.64	365.86	NA	NA	NA
20130722	139.00	2013	7	22	17.90	6.00	2.61	0.14	0.06	6.99	0.67	388.51	22.48	363.27	NA	NA	NA
20130725	140.00	2013	7	25	17.60	6.00	2.73	0.16	0.12	5.60	0.48	383.06	21.16	170.97	NA	NA	NA
20130729	141.00	2013	7	29	19.00	6.00	2.96	0.25	0.06	7.75	0.37	396.76	22.49	406.19	NA	NA	NA
20130801	142.00	2013	8	1	18.10	6.00	2.99	0.22	0.11	6.60	0.61	411.28	21.70	195.96	NA	NA	NA
20130805	143.00	2013	8	5	19.60	6.00	3.71	0.17	0.08	6.35	0.45	387.61	21.42	257.91	NA	NA	NA
20130808	144.00	2013	8	8	20.60	6.00	2.59	0.21	0.11	6.35	0.56	394.97	25.38	229.19	NA	NA	NA
20130812	145.00	2013	8	12	18.40	6.10	2.54	0.20	0.15	10.60	0.50	384.75	21.31	141.80	NA	NA	NA
20130815	146.00	2013	8	15	17.60	6.10	1.99	0.16	0.15	11.69	0.73	373.37	20.12	133.88	NA	NA	NA
20130819	147.00	2013	8	19	18.10	6.20	1.89	0.21	0.19	11.74	0.65	382.19	21.89	116.52	NA	NA	NA
20130822	148.00	2013	8	22	16.90	6.20	1.63	0.22	0.08	10.03	0.60	380.45	20.03	266.56	NA	NA	NA
20130826	149.00	2013	8	26	18.20	6.20	1.57	0.31	0.03	7.02	0.43	386.96	20.47	700.49	NA	NA	NA
20130829	150.00	2013	8	29	18.90	6.20	1.65	0.17	0.12	5.89	0.50	385.41	20.87	178.55	NA	NA	NA
20130902	151.00	2013	9	2	17.20	6.20	1.79	0.23	0.06	5.89	0.45	379.95	20.30	347.34	NA	NA	NA
20130905	152.00	2013	9	5	17.60	6.10	1.70	0.20	0.09	7.59	0.50	379.74	19.83	226.20	NA	NA	NA
20130909	153.00	2013	9	9	18.00	6.10	1.63	0.55	0.03	7.31	0.41	380.73	18.05	617.68	NA	NA	NA
20130912	154.00	2013	9	12	17.40	6.20	1.59	0.40	0.06	5.88	0.68	375.23	19.35	331.08	NA	NA	NA
20130916	155.00	2013	9	16	17.10	6.20	2.03	0.38	0.03	7.35	0.59	377.84	19.93	682.02	NA	NA	NA
20130919	156.00	2013	9	19	16.60	6.20	2.14	0.67	0.09	7.43	0.68	381.39	21.63	246.73	NA	NA	NA
20130926	157.00	2013	9	26	14.60	6.10	1.89	0.28	0.06	9.09	0.93	374.57	20.50	350.76	NA	NA	NA
20130930	158.00	2013	9	30	13.80	6.10	2.03	0.26	0.12	9.78	1.19	371.87	19.12	163.57	NA	NA	NA
20131003	159.00	2013	10	3	13.50	6.00	2.43	0.30	0.09	9.17	1.32	374.03	20.16	229.96	NA	NA	NA
20131007	160.00	2013	10	7	13.70	6.20	1.78	0.38	0.12	8.26	1.32	372.83	20.36	174.18	NA	NA	NA
20131014	161.00	2013	10	14	13.20	6.20	3.07	0.22	0.09	7.04	1.13	371.23	20.58	234.75	NA	NA	NA
20131017	162.00	2013	10	17	12.90	6.20	2.32	0.44	0.18	7.30	0.68	366.06	19.61	111.84	NA	NA	NA
20131025	163.00	2013	10	25	11.80	6.40	2.04	1.46	0.41	10.86	1.19	371.02	23.81	58.20	NA	NA	NA
20131031	164.00	2013	10	31	8.50	6.50	1.47	2.32	0.85	13.08	0.68	355.95	23.33	27.53	NA	NA	NA
20131104	165.00	2013	11	4	7.10	6.80	1.01	1.09	0.35	9.19	0.74	350.13	24.15	68.87	NA	NA	NA
20131111	166.00	2013	11	11	8.20	6.30	2.07	1.19	0.35	8.87	1.11	362.09	21.17	60.37	NA	NA	NA
20131118	167.00	2013	11	18	7.90	6.30	2.20	1.48	0.47	10.48	0.70	364.93	21.39	45.75	NA	NA	NA
20131126	168.00	2013	11	26	6.80	6.30	1.50	1.48	0.47	10.48	0.99	368.79	21.17	45.04	NA	NA	NA
20131203	169.00	2013	12	3	6.70	6.20	1.35	1.72	0.45	10.44	1.11	367.73	22.41	49.80	NA	NA	NA
20131211	170.00	2013	12	11	NA	NA	0.89	1.75	0.57	11.68	1.01	358.14	21.62	37.93	NA	NA	NA
20140109	171.00	2014	1	9	5.40	6.40	0.75	2.24	0.75	13.55	0.50	NA	NA	NA	NA	NA	NA
20140220	172.00	2014	2	20	3.50	6.60	0.45	2.46	0.86	13.94	0.30	NA	NA	NA	NA	NA	NA
20140312	173.00	2014	3	12	4.00	6.50	0.44	2.56	0.78	14.62	0.59	NA	NA	NA	NA	NA	NA
20140408	174.00	2014	4	8	4.70	6.30	3.05	0.92	0.58	13.85	0.55	NA	NA	NA	NA	NA	NA
20140506	175.00	2014	5	6	6.60	6.30	2.01	0.33	0.50	13.85	0.55	NA	NA	NA	NA	NA	NA
20140604	176.00	2014	6	4	10.60	6.30	2.39	0.27	0.33	14.80	0.40	NA	NA	NA	NA	NA	NA
20140709	177.00	2014	7	9	17.80	6.10	2.95	0.24	0.03	11.79	0.32	NA	NA	NA	NA	NA	NA
20140820	178.00	2014	8	20	11.70	6.20	1.51	0.82	0.50	10.03	0.60	NA	NA	NA	NA	NA	NA
20140916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20141013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
