transporter	GO_level1	GO_level2	GO_level3	GO_level4	GO_level5	GO_level6	GO_level7	GO_level8	GO_level9	GO_level10	GO_level11	GO_level12	mainrole	sub1role	name
T787	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	PQQ_ABC_bind: ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system
T12	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Amino acids, peptides and amines	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
T23	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Amino acids, peptides and amines	2A0303: cationic amino acid transport permease
T738	biological_process	localization	establishment of localization	transport	single-organism transport	drug transport	drug transport	drug transport	drug transport	drug transport	drug transport	drug transport	Cellular processes	Toxin production and resistance	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
T100	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	mtp: Golgi 4-transmembrane spanning transporter
T324	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Nucleosides, purines and pyrimidines	thia_cytX: putative hydroxymethylpyrimidine transporter CytX
T532	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	autotrns_rpt: autotransporter-associated beta strand repeat
T225	None	None	None	None	None	None	None	None	None	None	None	None	Regulatory functions	Other	ModE_repress: ModE molybdate transport repressor domain
T558	molecular_function	binding	heterocyclic compound binding	nucleoside phosphate binding	nucleotide binding	purine nucleotide binding	purine ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	None	None	MsbA_rel: ABC transporter, permease/ATP-binding protein
T380	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	None	None	ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
T8	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	kdpA: K+-transporting ATPase, A subunit
T273	None	None	None	None	None	None	None	None	None	None	None	None	Central intermediary metabolism	Phosphorus compounds	PPK2_rel_1: polyphosphate:nucleotide phosphotransferase, PPK2 family
T877	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	None	None	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
T7	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	amino acid transport	neutral amino acid transport	neutral amino acid transport	neutral amino acid transport	neutral amino acid transport	neutral amino acid transport	Transport and binding proteins	Amino acids, peptides and amines	sss: transporter, solute:sodium symporter (SSS) family
T1008	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0309: spore germination protein (amino acid permease)
T53	cellular_component	macromolecular complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	transporter complex	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	dctP: TRAP transporter solute receptor, DctP family
T228	biological_process	localization	establishment of localization	transport	organic substance transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	Protein fate	Protein folding and stabilization	chap_CsaA: export-related chaperone protein CsaA
T851	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	bind_CPR_0540: carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
T612	cellular_component	macromolecular complex	protein complex	membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	plasma membrane protein complex	None	None	heterocyst_DevB: ABC exporter membrane fusion protein, DevB family
T998	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s02tim23: mitochondrial import inner membrane translocase subunit
T1009	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccC_a: type VII secretion protein EccCa
T127	molecular_function	transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	transmembrane transporter activity	Cellular processes	Toxin production and resistance	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T512	biological_process	multi-organism process	interspecies interaction between organisms	interaction with host	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	Protein fate	Protein and peptide secretion and trafficking	IV_VI_DotU: type IV/VI secretion system protein, DotU family
T891	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transmembrane transporter activity	ion transmembrane transporter activity	cation transmembrane transporter activity	inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	hydrogen ion transmembrane transporter activity	solute:proton antiporter activity	monovalent cation:proton antiporter activity	monovalent cation:proton antiporter activity	Transport and binding proteins	Cations and iron carrying compounds	antiport_nhaC: Na+/H+ antiporter NhaC
T950	None	None	None	None	None	None	None	None	None	None	None	None	Cellular processes	Pathogenesis	type_III_yscE: type III secretion system protein, YseE family
T152	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0127: MFS transporter, phenyl propionate permease (PPP) family
T252	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	ntrB: nitrate ABC transporter, permease protein
T13	biological_process	localization	establishment of localization	transport	single-organism transport	iron coordination entity transport	iron coordination entity transport	iron coordination entity transport	iron coordination entity transport	iron coordination entity transport	iron coordination entity transport	iron coordination entity transport	Protein fate	Protein and peptide secretion and trafficking	ccmB: heme exporter protein CcmB
T122	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	modB_ABC: molybdate ABC transporter, permease protein
T718	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	VI_chp_7: type VI secretion-associated protein, VC_A0119 family
T60	biological_process	localization	establishment of localization	transport	single-organism transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	Transport and binding proteins	Anions	sulP: sulfate permease
T551	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	SBP_KPN_01854: ABC transporter substrate binding protein, KPN_01854 family
T671	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	ABC_peri_uca: ABC transporter periplasmic binding protein, urea carboxylase region
T751	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	arg_ornith_anti: arginine-ornithine antiporter
T912	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	VI_Rhs_Vgr: type VI secretion system Vgr family protein
T458	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	metal ion transport	metal ion transport	metal ion transport	metal ion transport	metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
T197	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	type_III_YscX: type III secretion protein, YscX family
T822	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	gspI: type II secretion system protein I
T349	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Transport and binding proteins	Cations and iron carrying compounds	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors
T43	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Other	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
T565	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	c_cpa1: sodium/hydrogen antiporter
T78	biological_process	localization	establishment of localization	transport	single-organism transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	Transport and binding proteins	Other	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
T31	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	autotrans_barl: outer membrane autotransporter barrel domain
T289	biological_process	localization	establishment of localization	transport	organic substance transport	carbohydrate derivative transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	glycoside transport	Transport and binding proteins	Other	drrB: daunorubicin resistance ABC transporter membrane protein
T585	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	amino acid transport	basic amino acid transport	basic amino acid transport	basic amino acid transport	basic amino acid transport	basic amino acid transport	Transport and binding proteins	Amino acids, peptides and amines	lao: LAO/AO transport system ATPase
T614	biological_process	localization	establishment of localization	transport	single-organism transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	Transport and binding proteins	Other	ECF_ThiT_YuaJ: energy-coupled thiamine transporter ThiT
T291	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	carboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0112: MFS transporter, sialate:H+ symporter (SHS) family
T470	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
T708	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_ClpV1: type VI secretion ATPase, ClpV1 family
T810	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Other	fbt: folate/biopterin transporter
T650	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17
T193	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	Na_symport_sm: putative solute:sodium symporter small subunit
T765	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	pepcterm_export: putative polysaccharide export protein, PEP-CTERM sytem-associated
T286	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
T840	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Nucleosides, purines and pyrimidines	2a57: nucleoside Transporter
T255	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	a_cpa1: Na+/H+ antiporter
T432	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s09: mitochondrial precursor proteins import receptor
T258	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s07tom40: mitochondrial import receptor subunit
T767	None	None	None	None	None	None	None	None	None	None	None	None	Cellular processes	Pathogenesis	type_III_yopR: type III secretion effector, YopR family
T95	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	typeII_sec_gspL: type II secretion system protein L
T54	molecular_function	transporter activity	transmembrane transporter activity	substrate-specific transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	ion transmembrane transporter activity	Transport and binding proteins	Anions	dass: transporter, divalent anion:Na+ symporter (DASS) family
T382	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	VI_zyme: type VI secretion system lysozyme-like protein
T605	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	EcfS_MSC_0063: putative energy coupling factor transporter S component
T113	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_HlyB: type I secretion system ATPase
T87	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccB: type VII secretion protein EccB
T553	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccC_b: type VII secretion protein EccCb
T426	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	amide transmembrane transporter activity	Transport and binding proteins	Other	urea_trans_yut: urea transporter
T729	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0304: amino acid permease
T471	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein folding and stabilization	type_III_yscG: type III secretion protein, YscG family
T924	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_chp_4: type VI secretion protein, VC_A0114 family
T81	biological_process	localization	establishment of localization	transport	organic substance transport	organic anion transport	carboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	monocarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	kdgT: 2-keto-3-deoxygluconate transporter
T780	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	urea_ABC_arch: urea ABC transporter, substrate-binding protein
T119	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family
T595	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
T30	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	iron ion transport	iron ion transport	iron ion transport	iron ion transport	Transport and binding proteins	Cations and iron carrying compounds	feoB: ferrous iron transport protein B
T603	biological_process	localization	establishment of localization	transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	single-organism transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family
T850	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	tdt: C4-dicarboxylate transporter/malic acid transport protein
T1010	biological_process	localization	establishment of localization	transport	organic substance transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	Cellular processes	Other	nodI: nodulation ABC transporter NodI
T9	biological_process	localization	establishment of localization	transport	organic substance transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	None	None	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
T652	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	SpaO_YscQ: type III secretion apparatus protein, YscQ/HrcQ family
T174	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	PrgH: type III secretion apparatus protein PrgH/EprH
T564	biological_process	localization	establishment of localization	transport	single-organism transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	Transport and binding proteins	Amino acids, peptides and amines	ectoine_ehuB: ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB
T351	biological_process	localization	establishment of localization	transport	ion transport	cation transport	divalent inorganic cation transport	divalent metal ion transport	divalent metal ion transport	divalent metal ion transport	divalent metal ion transport	divalent metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	mgtE: magnesium transporter
T714	biological_process	localization	establishment of localization	transport	nitrogen compound transport	amide transport	peptide transport	peptide transport	peptide transport	peptide transport	peptide transport	peptide transport	Protein fate	Protein and peptide secretion and trafficking	bacteriocin_ABC: ABC-type bacteriocin transporter
T857	None	None	None	None	None	None	None	None	None	None	None	None	Central intermediary metabolism	Phosphorus compounds	poly_P_AMP_trns: polyphosphate:AMP phosphotransferase
T672	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Anions	PhnE: phosphonate ABC transporter, permease protein PhnE
T863	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
T688	biological_process	response to stimulus	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	response to chemical	Cellular processes	Detoxification	2a45: arsenite/antimonite efflux pump membrane protein
T452	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	None	None	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein
T576	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	sit: silicon transporter
T111	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s04tom: mitochondrial import receptor subunit
