TransporterGroup	Family	Description
Tr98	COG4120	ABC-type uncharacterized transport system, permease component
Tr2	PF05025	RbsD / FucU transport protein family
Tr2	PF06379	L-rhamnose-proton symport protein (RhaT)
Tr2	PF06800	Sugar transport protein
Tr2	TIGR02634	xylF: D-xylose ABC transporter, D-xylose-binding protein
Tr2	TIGR00776	RhaT: RhaT L-rhamnose-proton symporter family protein
Tr2	TIGR01272	gluP: glucose/galactose transporter WARNING
Tr2	TIGR00885	fucP: L-fucose:H+ symporter permease
Tr2	TIGR02633	xylG: D-xylose ABC transporter, ATP-binding protein
Tr2	COG4214	ABC-type xylose transport system, permease component
Tr2	COG4213	ABC-type xylose transport system, periplasmic component
Tr2	COG1869	ABC-type ribose transport system, auxiliary component
Tr2	COG4975	Putative glucose uptake permease
Tr2	COG0738	Fucose permease
Tr2	COG4211	ABC-type glucose/galactose transport system, permease component
Tr2	COG1129	ABC-type sugar transport system, ATPase component
Tr2	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
Tr302	COG0834	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Tr5	PF13721	SecD export protein N-terminal TM region
Tr5	PF02355	Protein export membrane protein
Tr5	TIGR00916	2A0604s01: protein-export membrane protein, SecD/SecF family
Tr5	TIGR00966	3a0501s07: protein-export membrane protein SecF
Tr5	TIGR01129	secD: protein-export membrane protein SecD
Tr303	PF03612	Sorbitol phosphotransferase enzyme II N-terminus
Tr303	PF07663	Sorbitol phosphotransferase enzyme II C-terminus
Tr303	COG3732	Phosphotransferase system sorbitol-specific component IIBC
Tr4	PF03666	Nitrogen Permease regulator of amino acid transport activity 3
Tr95	TIGR02121	Na_Pro_sym: sodium/proline symporter
Tr95	COG0591	Na+/proline symporter
Tr262	PF02690	Na+/Pi-cotransporter
Tr262	TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
Tr262	TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter
Tr262	COG1283	Na+/phosphate symporter
Tr7	PF16537	Type II secretion system protein B
Tr39	PF02386	Cation transport protein
Tr39	TIGR00933	2a38: potassium uptake protein, TrkH family
Tr39	TIGR00934	2a38euk: potassium uptake protein, Trk family
Tr39	COG0168	Trk-type K+ transport systems, membrane components
Tr39	COG0569	K+ transport systems, NAD-binding component
Tr38	PF03814	Potassium-transporting ATPase A subunit
Tr38	PF02669	K+-transporting ATPase, c chain
Tr38	TIGR01497	kdpB: K+-transporting ATPase, B subunit
Tr38	TIGR00680	kdpA: K+-transporting ATPase, A subunit
Tr38	TIGR00681	kdpC: K+-transporting ATPase, C subunit
Tr38	COG2216	High-affinity K+ transport system, ATPase chain B
Tr38	COG2060	K+-transporting ATPase, A chain
Tr38	COG2156	K+-transporting ATPase, c chain
Tr37	PF01226	Formate/nitrite transporter
Tr37	TIGR04060	formate_focA: formate transporter FocA
Tr37	TIGR00790	fnt: formate/nitrite transporter
Tr37	COG2116	Formate/nitrite family of transporters
Tr36	PF01313	Bacterial export proteins, family 3
Tr36	PF01311	Bacterial export proteins, family 1
Tr36	TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family
Tr36	TIGR01401	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
Tr36	COG4794	Type III secretory pathway, component EscS
Tr36	COG4791	Type III secretory pathway, component EscT
Tr35	PF03082	Male accessory gland secretory protein
Tr34	PF16185	Mitochondrial ABC-transporter N-terminal five TM region
Tr34	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
Tr33	PF12538	DNA transporter
Tr33	PF10140	WXG100 protein secretion system (Wss), protein YukC
Tr33	TIGR03928	T7_EssCb_Firm: type VII secretion protein EssC
Tr33	TIGR03926	T7_EssB: type VII secretion protein EssB
Tr32	PF06558	Secretion monitor precursor protein (SecM)
Tr31	PF07970	Endoplasmic reticulum vesicle transporter
Tr30	TIGR00886	2A0108: nitrite transporter
Tr30	COG2223	Nitrate/nitrite transporter
Tr304	PF05008	Vesicle transport v-SNARE protein N-terminus
Tr176	TIGR03226	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein
Tr176	TIGR00968	3a0106s01: sulfate ABC transporter, ATP-binding protein
Tr176	TIGR02139	permease_CysT: sulfate ABC transporter, permease protein CysT
Tr176	TIGR00969	3a0106s02: sulfate ABC transporter, permease protein
Tr176	TIGR02140	permease_CysW: sulfate ABC transporter, permease protein CysW
Tr176	TIGR00971	3a0106s03: sulfate ABC transporter, sulfate-binding protein
Tr176	COG0555	ABC-type sulfate transport system, permease component
Tr176	COG1118	ABC-type sulfate/molybdate transport systems, ATPase component
Tr176	COG4208	ABC-type sulfate transport system, permease component
Tr176	COG4150	ABC-type sulfate transport system, periplasmic component
Tr176	COG1613	ABC-type sulfate transport system, periplasmic component
Tr175	TIGR01295	PedC_BrcD: putative bacteriocin transport accessory protein
Tr174	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
Tr174	TIGR00800	ncs1: NCS1 nucleoside transporter family
Tr174	COG1953	Cytosine/uracil/thiamine/allantoin permeases
Tr174	COG1457	Purine-cytosine permease and related proteins
Tr300	PF01891	Cobalt uptake substrate-specific transmembrane region
Tr300	COG0310	ABC-type Co2+ transport system, permease component
Tr172	PF03364	Polyketide cyclase / dehydrase and lipid transport
Tr172	COG2867	Oligoketide cyclase/lipid transport protein
Tr171	PF06472	ABC transporter transmembrane region 2
Tr171	TIGR00954	3a01203: peroxysomal long chain fatty acyl transporter
Tr171	COG4178	ABC-type uncharacterized transport system, permease and ATPase components
Tr170	COG4177	ABC-type branched-chain amino acid transport system, permease component
Tr267	PF03739	Predicted permease YjgP/YjgQ family
Tr267	TIGR04407	LptF_YjgP: LPS export ABC transporter permease LptF
Tr267	TIGR04408	LptG_lptG: LPS export ABC transporter permease LptG
Tr267	COG0795	Predicted permeases
Tr266	PF05437	Branched-chain amino acid transport protein (AzlD)
Tr266	COG1687	Predicted branched-chain amino acid permeases (azaleucine resistance)
Tr265	PF10766	Multidrug efflux pump-associated protein AcrZ
Tr264	TIGR00983	3a0801s02tim23: mitochondrial import inner membrane translocase subunit
Tr264	TIGR00980	3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17
Tr264	COG5596	Mitochondrial import inner membrane translocase, subunit TIM22
Tr263	PF10498	Intra-flagellar transport protein 57
Tr90	PF05031	Iron Transport-associated domain
Tr90	TIGR03657	IsdB: heme uptake protein IsdB
Tr90	TIGR03656	IsdC: heme uptake protein IsdC
Tr90	TIGR03658	IsdH_HarA: haptoglobin-binding heme uptake protein HarA
Tr93	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
Tr93	PF02807	ATP:guanido phosphotransferase, N-terminal domain
Tr92	PF00950	ABC 3 transport family
Tr92	PF01475	Ferric uptake regulator family
Tr92	PF01297	Zinc-uptake complex component A periplasmic
Tr92	COG1108	ABC-type Mn2+/Zn2+ transport systems, permease components
Tr92	COG1121	ABC-type Mn/Zn transport systems, ATPase component
Tr92	COG0735	Fe2+/Zn2+ uptake regulation proteins
Tr92	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin
