TransporterGroup	Family	Description
T243	PF11732	Transcription- and export-related complex subunit
T240	PF05742	Transport and Golgi organisation 2
T241	PF07321	Type III secretion protein YscO
T45	PF04039	Domain related to MnhB subunit of Na+/H+ antiporter
T45	TIGR00943	2a6301s02: monovalent cation:proton antiporter
T45	TIGR00940	2a6301s01: monovalent cation:proton antiporter
T45	TIGR00941	2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit
T45	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
T45	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit
T45	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit
T98	PF03814	Potassium-transporting ATPase A subunit
T98	PF02669	K+-transporting ATPase, c chain
T98	TIGR01497	kdpB: K+-transporting ATPase, B subunit
T98	TIGR00681	kdpC: K+-transporting ATPase, C subunit
T98	TIGR00680	kdpA: K+-transporting ATPase, A subunit
T98	COG2060	K+-transporting ATPase, A chain
T98	COG2156	K+-transporting ATPase, c chain
T98	COG2216	High-affinity K+ transport system, ATPase chain B
T56	PF15305	Intraflagellar transport protein 43
T99	COG4558	ABC-type hemin transport system, periplasmic component
T99	COG4559	ABC-type hemin transport system, ATPase component
T59	TIGR01097	PhnE: phosphonate ABC transporter, permease protein PhnE
T59	TIGR03431	PhnD: phosphonate ABC transporter, periplasmic phosphonate binding protein
T59	TIGR02315	ABC_phnC: phosphonate ABC transporter, ATP-binding protein
T59	TIGR01098	3A0109s03R: phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
T59	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component
T59	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component
T59	COG3639	ABC-type phosphate/phosphonate transport system, permease component
T149	PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit
T149	TIGR03136	malonate_biotin: Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
T149	COG1883	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
T148	PF03135	CagE, TrbE, VirB family, component of type IV transporter system
T148	PF07996	Type IV secretion system proteins
T148	PF05101	Type IV secretory pathway, VirB3-like protein
T148	TIGR00929	VirB4_CagE: type IV secretion/conjugal transfer ATPase, VirB4 family
T148	COG3702	Type IV secretory pathway, VirB3 components
T148	COG3451	Type IV secretory pathway, VirB4 components
T145	COG4555	ABC-type Na+ transport system, ATPase component
T145	COG4152	ABC-type uncharacterized transport system, ATPase component
T145	COG1668	ABC-type Na+ efflux pump, permease component
T144	PF16937	Type III secretion system translocator protein, HrpF
T147	PF05031	Iron Transport-associated domain
T147	TIGR03657	IsdB: heme uptake protein IsdB
T147	TIGR03656	IsdC: heme uptake protein IsdC
T147	TIGR03658	IsdH_HarA: haptoglobin-binding heme uptake protein HarA
T146	COG4138	ABC-type cobalamin transport system, ATPase component
T146	COG4139	ABC-type cobalamin transport system, permease component
T141	PF10634	Fe2+ transport protein
T141	COG3470	Uncharacterized protein probably involved in high-affinity Fe2+ transport
T140	PF02411	MerT mercuric transport protein
T143	PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family
T143	COG1859	RNA:NAD 2'-phosphotransferase
T142	PF11744	Aluminium activated malate transporter
T142	PF10337	Putative ER transporter, 6TM, N-terminal
T142	PF10334	Aromatic acid exporter family member 2
T94	PF06379	L-rhamnose-proton symport protein (RhaT)
T94	PF05025	RbsD / FucU transport protein family
T94	PF06800	Sugar transport protein
T94	TIGR00885	fucP: L-fucose:H+ symporter permease
T94	TIGR02633	xylG: D-xylose ABC transporter, ATP-binding protein
T94	TIGR01272	gluP: glucose/galactose transporter WARNING
T94	TIGR02634	xylF: D-xylose ABC transporter, D-xylose-binding protein
T94	TIGR00776	RhaT: RhaT L-rhamnose-proton symporter family protein
T94	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
T94	COG0738	Fucose permease
T94	COG4214	ABC-type xylose transport system, permease component
T94	COG4213	ABC-type xylose transport system, periplasmic component
T94	COG4211	ABC-type glucose/galactose transport system, permease component
T94	COG4975	Putative glucose uptake permease
T94	COG1129	ABC-type sugar transport system, ATPase component
T94	COG1879	ABC-type sugar transport system, periplasmic component
T94	COG1869	ABC-type ribose transport system, auxiliary component
T48	PF10270	Membrane magnesium transporter
T95	PF10140	WXG100 protein secretion system (Wss), protein YukC
T95	PF12538	DNA transporter
T95	TIGR03926	T7_EssB: type VII secretion protein EssB
T95	TIGR03928	T7_EssCb_Firm: type VII secretion protein EssC
T96	PF01384	Phosphate transporter family
T96	COG1392	Phosphate transport regulator (distant homolog of PhoU)
T96	COG0306	Phosphate/sulphate permeases
T259	PF01203	Type II secretion system (T2SS), protein N
T258	PF08988	Type III secretion system, cytoplasmic E component of needle
T258	TIGR02501	type_III_yscE: type III secretion system protein, YseE family
T97	PF09794	Transport protein Avl9
T198	PF03773	Predicted permease
T198	COG0701	Predicted permeases
T251	PF06610	L-alanine exporter
T90	PF03806	AbgT putative transporter family
T90	TIGR00819	ydaH: AbgT transporter family
T90	COG2978	Putative p-aminobenzoyl-glutamate transporter
T253	PF15048	Organic solute transporter subunit beta protein
T252	PF07331	Tripartite tricarboxylate transporter TctB family
T255	PF12424	Plasma membrane calcium transporter ATPase C terminal
T254	TIGR00949	2A76: homoserine/Threonine efflux protein
T254	COG1280	Putative threonine efflux protein
T257	PF03666	Nitrogen Permease regulator of amino acid transport activity 3
T91	TIGR03819	heli_sec_ATPase: helicase/secretion neighborhood ATPase
T91	TIGR03815	CpaE_hom_Actino: helicase/secretion neighborhood CpaE-like protein
T43	PF04145	Ctr copper transporter family
T92	PF04515	Plasma-membrane choline transporter
T89	PF02064	MAS20 protein import receptor
T89	TIGR00985	3a0801s04tom: mitochondrial import receptor subunit
T88	TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter
T88	COG4615	ABC-type siderophore export system, fused ATPase and permease components
T87	PF02659	Putative manganese efflux pump
T86	PF00209	Sodium:neurotransmitter symporter family
T86	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
T86	TIGR00909	2A0306: amino acid transporter
T86	COG0733	Na+-dependent transporters of the SNF family
T85	PF04888	Secretion system effector C (SseC) like family
T85	PF01313	Bacterial export proteins, family 3
T85	PF01311	Bacterial export proteins, family 1
T85	TIGR01102	yscR: type III secretion apparatus protein, YscR/HrcR family
T85	TIGR02552	LcrH_SycD: type III secretion low calcium response chaperone LcrH/SycD
T85	TIGR02551	SpaO_YscQ: type III secretion apparatus protein, YscQ/HrcQ family
T85	TIGR01401	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
T85	TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family
T85	TIGR02101	IpaC_SipC: type III secretion target, IpaC/SipC family
T85	COG4794	Type III secretory pathway, component EscS
T85	COG4792	Type III secretory pathway, component EscU
T85	COG4790	Type III secretory pathway, component EscR
T85	COG4791	Type III secretory pathway, component EscT
T85	COG1886	Flagellar motor switch/type III secretory pathway protein
T84	TIGR03226	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein
T84	TIGR03227	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
T84	TIGR01187	potA: polyamine ABC transporter, ATP-binding protein
T84	TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein
T84	TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
T84	TIGR03255	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV
T84	TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily
T84	TIGR03258	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
T84	TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
T84	COG1177	ABC-type spermidine/putrescine transport system, permease component II
T84	COG1176	ABC-type spermidine/putrescine transport system, permease component I
T84	COG1178	ABC-type Fe3+ transport system, permease component
T84	COG1840	ABC-type Fe3+ transport system, periplasmic component
T84	COG3840	ABC-type thiamine transport system, ATPase component
T84	COG4143	ABC-type thiamine transport system, periplasmic component
T83	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)
T83	COG2067	Long-chain fatty acid transport protein
T82	PF03222	Tryptophan/tyrosine permease family
T82	PF01490	Transmembrane amino acid transporter protein
T82	TIGR00814	stp: serine transporter
T82	TIGR00837	araaP: aromatic amino acid transport protein
T82	COG0814	Amino acid permeases
T81	PF00909	Ammonium Transporter Family
T81	TIGR00836	amt: ammonium transporter
T81	COG0004	Ammonia permease
T80	TIGR00833	actII: transport protein
T80	COG2409	Predicted drug exporters of the RND superfamily
T138	PF03611	PTS system sugar-specific permease component
T138	COG3775	Phosphotransferase system, galactitol-specific IIC component
T138	COG3414	Phosphotransferase system, galactitol-specific IIB component
T139	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
T139	PF02807	ATP:guanido phosphotransferase, N-terminal domain
T40	PF06826	Predicted Permease Membrane Region
T40	TIGR03802	Asp_Ala_antiprt: aspartate-alanine antiporter
T40	TIGR01625	YidE_YbjL_dupl: AspT/YidE/YbjL antiporter duplication domain
T40	COG2985	Predicted permease
T166	PF06558	Secretion monitor precursor protein (SecM)
T130	COG1447	Phosphotransferase system cellobiose-specific component IIA
T130	COG1440	Phosphotransferase system cellobiose-specific component IIB
T130	COG1455	Phosphotransferase system cellobiose-specific component IIC
T131	TIGR03648	Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily
T131	TIGR02711	symport_actP: cation/acetate symporter ActP
T131	COG4147	Predicted symporter
T132	TIGR01729	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein
T132	TIGR01728	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
T132	TIGR01183	ntrB: nitrate ABC transporter, permease protein
T132	TIGR01184	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T132	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components
T132	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
T132	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
T132	COG4525	ABC-type taurine transport system, ATPase component
T132	COG4521	ABC-type taurine transport system, periplasmic component
T133	PF09515	Thiamine transporter protein (Thia_YuaJ)
T133	TIGR02357	ECF_ThiT_YuaJ: energy-coupled thiamine transporter ThiT
T134	PF03886	ABC-type transport auxiliary lipoprotein component
T134	PF02405	Permease MlaE
T134	TIGR00056	TIGR00056: ABC transport permease subunit
T134	COG2854	ABC-type transport system involved in resistance to organic solvents, auxiliary component
T134	COG1463	ABC-type transport system involved in resistance to organic solvents, periplasmic component
T134	COG0767	ABC-type transport system involved in resistance to organic solvents, permease component
T134	COG1127	ABC-type transport system involved in resistance to organic solvents, ATPase component
T135	TIGR01713	typeII_sec_gspC: type II secretion system protein C
T135	COG3031	Type II secretory pathway, component PulC
T136	TIGR02121	Na_Pro_sym: sodium/proline symporter
T136	COG0591	Na+/proline symporter
T137	PF02028	BCCT, betaine/carnitine/choline family transporter
T137	TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
T137	COG1292	Choline-glycine betaine transporter
T14	PF02705	K+ potassium transporter
T14	TIGR00794	kup: potassium uptake protein
T14	COG3158	K+ transporter
T15	TIGR03022	WbaP_sugtrans: undecaprenyl-phosphate galactose phosphotransferase WbaP
T15	TIGR03023	WcaJ_sugtrans: undecaprenyl-phosphate glucose phosphotransferase
T15	TIGR03025	EPS_sugtrans: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
T16	PF10661	WXG100 protein secretion system (Wss), protein EssA
T16	TIGR03927	T7SS_EssA_Firm: type VII secretion protein EssA
T17	PF00520	Ion transport protein
T17	PF08412	Ion transport protein N-terminal
T17	PF06512	Sodium ion transport-associated
T17	PF02386	Cation transport protein
T17	TIGR00933	2a38: potassium uptake protein, TrkH family
T17	TIGR00932	2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family
T17	TIGR00934	2a38euk: potassium uptake protein, Trk family
T17	COG0569	K+ transport systems, NAD-binding component
T17	COG4651	Kef-type K+ transport system, predicted NAD-binding component
T17	COG0475	Kef-type K+ transport systems, membrane components
T17	COG0168	Trk-type K+ transport systems, membrane components
T17	COG1226	Kef-type K+ transport systems, predicted NAD-binding component
T10	PF00950	ABC 3 transport family
T10	PF01475	Ferric uptake regulator family
T10	PF01297	Zinc-uptake complex component A periplasmic
T10	COG0735	Fe2+/Zn2+ uptake regulation proteins
T10	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin
T10	COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin
T10	COG1108	ABC-type Mn2+/Zn2+ transport systems, permease components
T10	COG1121	ABC-type Mn/Zn transport systems, ATPase component
T11	PF09392	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
T11	PF17001	Type III secretion basal body protein I, YscI, HrpB, PscI
T11	PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)
T11	PF09480	Type III secretion system protein PrgH-EprH (PrgH)
T11	PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)
T11	PF09474	Type III secretion system YscX (type_III_YscX)
T11	TIGR02499	HrpE_YscL_not: type III secretion apparatus protein, HrpE/YscL family
T11	TIGR02497	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
T11	TIGR02511	type_III_tyeA: type III secretion effector delivery regulator, TyeA family
T11	TIGR02517	type_II_gspD: type II secretion system protein D
T11	TIGR02105	III_needle: type III secretion apparatus needle protein
T11	TIGR02473	flagell_FliJ: flagellar export protein FliJ
T11	TIGR02555	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
T11	TIGR02554	PrgH: type III secretion apparatus protein PrgH/EprH
T11	TIGR02516	type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family
T11	TIGR02502	type_III_YscX: type III secretion protein, YscX family
T11	TIGR02568	LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
T11	TIGR02508	type_III_yscG: type III secretion protein, YscG family
T11	TIGR02503	type_III_SycN: type III secretion chaperone SycN
T11	TIGR03497	FliI_clade2: flagellar protein export ATPase FliI
T11	TIGR03496	FliI_clade1: flagellar protein export ATPase FliI
T11	TIGR02544	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
T11	TIGR02546	III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
T11	TIGR03498	FliI_clade3: flagellar protein export ATPase FliI
T11	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase
T11	COG4789	Type III secretory pathway, component EscV
T11	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein
T11	COG1317	Flagellar biosynthesis/type III secretory pathway protein
T11	COG4669	Type III secretory pathway, lipoprotein EscJ
T11	COG1450	Type II secretory pathway, component PulD
T12	PF00892	EamA-like transporter family
T12	PF04142	Nucleotide-sugar transporter
T12	PF08449	UAA transporter family
T12	PF03151	Triose-phosphate Transporter family
T12	TIGR00950	2A78: carboxylate/amino acid/amine transporter
T12	TIGR00803	nst: UDP-galactose transporter
T12	COG5070	Nucleotide-sugar transporter
T12	COG2962	Predicted permeases
T12	COG5006	Predicted permease, DMT superfamily
T13	COG1826	Sec-independent protein secretion pathway components
T13	COG0805	Sec-independent protein secretion pathway component TatC
T44	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
T44	TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit
T44	COG1174	ABC-type proline/glycine betaine transport systems, permease component
T44	COG4176	ABC-type proline/glycine betaine transport system, permease component
T44	COG4175	ABC-type proline/glycine betaine transport system, ATPase component
T44	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components
T44	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)
T44	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components
T18	PF03934	Type II secretion system (T2SS), protein K
T18	PF05134	Type II secretion system (T2SS), protein L
T18	PF04612	Type II secretion system (T2SS), protein M
T18	TIGR01709	typeII_sec_gspL: type II secretion system protein L
T18	COG3297	Type II secretory pathway, component PulL
T18	COG3156	Type II secretory pathway, component PulK
T18	COG3149	Type II secretory pathway, component PulM
T19	PF00367	phosphotransferase system, EIIB
T19	TIGR01417	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
T19	COG4668	Mannitol/fructose-specific phosphotransferase system, IIA domain
T19	COG1264	Phosphotransferase system IIB components
T19	COG1299	Phosphotransferase system, fructose-specific IIC component
T19	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
T19	COG1925	Phosphotransferase system, HPr-related proteins
T19	COG1445	Phosphotransferase system fructose-specific component IIB
T19	COG3925	N-terminal domain of the phosphotransferase system fructose-specific component IIB
T19	COG2213	Phosphotransferase system, mannitol-specific IIBC component
T8	TIGR03002	outer_YhbN_LptA: lipopolysaccharide transport periplasmic protein LptA
T8	TIGR04406	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
T8	TIGR04409	LptC_YrbK: LPS export ABC transporter periplasmic protein LptC
T8	COG1137	ABC-type (unclassified) transport system, ATPase component
T9	PF02687	FtsX-like permease family
T9	TIGR00439	ftsX: putative protein insertion permease FtsX
T9	COG0577	ABC-type antimicrobial peptide transport system, permease component
T9	COG4181	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component
T9	COG1136	ABC-type antimicrobial peptide transport system, ATPase component
T9	COG4591	ABC-type transport system, involved in lipoprotein release, permease component
T9	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component
T1	PF01899	Na+/H+ ion antiporter subunit
T1	PF03334	Na+/H+ antiporter subunit
T1	TIGR01300	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
T1	TIGR00942	2a6301s05: multicomponent Na+:H+ antiporter
T1	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit
T1	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit
T1	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit
T228	PF12951	Autotransporter-associated beta strand repeat
T228	TIGR02601	autotrns_rpt: autotransporter-associated beta strand repeat
T229	PF09783	Vacuolar import and degradation protein
T229	COG5073	Vacuolar import and degradation protein
T224	PF16954	Haem-transporter, endosomal/lysosomal, haem-responsive gene
T225	TIGR02567	YscW: type III secretion system chaperone YscW
T226	PF10599	Retro-transposon transporting motif
T227	PF11093	Mitochondrial export protein Som1
T220	PF10642	Mitochondrial import receptor subunit or translocase
T221	PF15171	Neuropeptide secretory protein family, NPQ, spexin
T222	TIGR02857	CydD: thiol reductant ABC exporter, CydD subunit
T222	TIGR02868	CydC: thiol reductant ABC exporter, CydC subunit
T222	COG4987	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components
T222	COG4988	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
T93	COG4136	ABC-type uncharacterized transport system, ATPase component
T93	COG4134	ABC-type uncharacterized transport system, periplasmic component
T93	COG4135	ABC-type uncharacterized transport system, permease component
T129	TIGR02139	permease_CysT: sulfate ABC transporter, permease protein CysT
T129	TIGR02140	permease_CysW: sulfate ABC transporter, permease protein CysW
T129	TIGR00968	3a0106s01: sulfate ABC transporter, ATP-binding protein
T129	TIGR00969	3a0106s02: sulfate ABC transporter, permease protein
T129	TIGR00971	3a0106s03: sulfate ABC transporter, sulfate-binding protein
T129	COG4208	ABC-type sulfate transport system, permease component
T129	COG4150	ABC-type sulfate transport system, periplasmic component
T129	COG1613	ABC-type sulfate transport system, periplasmic component
T129	COG1118	ABC-type sulfate/molybdate transport systems, ATPase component
T128	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
T128	TIGR00800	ncs1: NCS1 nucleoside transporter family
T128	COG1953	Cytosine/uracil/thiamine/allantoin permeases
T128	COG1457	Purine-cytosine permease and related proteins
T123	PF17099	Tryptophan transporter TrpP
T122	PF07660	Secretin and TonB N terminus short domain
T122	PF01298	Transferrin binding protein-like solute binding protein
T122	TIGR01776	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors
T122	TIGR03659	IsdE: heme ABC transporter, heme-binding protein isdE
T122	TIGR04281	peripla_PGF_1: putative ABC transporter PGF-CTERM-modified substrate-binding protein
T122	TIGR01786	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T122	TIGR01785	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
T122	TIGR01783	TonB-siderophor: TonB-dependent siderophore receptor
T122	COG4779	ABC-type enterobactin transport system, permease component
T122	COG1629	Outer membrane receptor proteins, mostly Fe transport
T122	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component
T122	COG4796	Type II secretory pathway, component HofQ
T122	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
T121	TIGR04033	export_SdpB: antimicrobial peptide system protein, SdpB family
T120	PF00188	Cysteine-rich secretory protein family
T127	TIGR01295	PedC_BrcD: putative bacteriocin transport accessory protein
T126	PF13103	TonB C terminal
T126	PF03544	Gram-negative bacterial TonB protein C-terminal
T126	TIGR01352	tonB_Cterm: TonB family C-terminal domain
T126	COG0810	Periplasmic protein TonB, links inner and outer membranes
T125	PF11124	Inorganic phosphate transporter Pho86
T124	PF08817	WXG100 protein secretion system (Wss), protein YukD
T124	TIGR03920	T7SS_EccD: type VII secretion integral membrane protein EccD
T29	PF16572	Long alpha hairpin domain of cation efflux system protein, CusB
T29	PF01545	Cation efflux family
T29	PF02321	Outer membrane efflux protein
T29	PF16916	Dimerisation domain of Zinc Transporter
T29	TIGR01000	bacteriocin_acc: bacteriocin secretion accessory protein
T29	TIGR01844	type_I_sec_TolC: type I secretion outer membrane protein, TolC family
T29	TIGR01845	outer_NodT: efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
T29	TIGR01846	type_I_sec_HlyB: type I secretion system ATPase
T29	TIGR01842	type_I_sec_PrtD: type I secretion system ATPase
T29	TIGR01843	type_I_hlyD: type I secretion membrane fusion protein, HlyD family
T29	TIGR00998	8a0101: efflux pump membrane protein
T29	TIGR01193	bacteriocin_ABC: ABC-type bacteriocin transporter
T29	TIGR00711	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
T29	TIGR00915	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T29	TIGR00914	2A0601: heavy metal efflux pump, CzcA family
T29	TIGR01297	CDF: cation diffusion facilitator family transporter
T29	COG0841	Cation/multidrug efflux pump
T29	COG3696	Putative silver efflux pump
T29	COG4618	ABC-type protease/lipase transport system, ATPase and permease components
T29	COG1230	Co/Zn/Cd efflux system component
T29	COG1566	Multidrug resistance efflux pump
T29	COG0053	Predicted Co/Zn/Cd cation transporters
T29	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
T28	TIGR02769	nickel_nikE: nickel import ATP-binding protein NikE
T28	TIGR02294	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
T28	TIGR02770	nickel_nikD: nickel import ATP-binding protein NikD
T28	TIGR02789	nickel_nikB: nickel ABC transporter, permease subunit NikB
T28	COG4608	ABC-type oligopeptide transport system, ATPase component
T28	COG4170	ABC-type antimicrobial peptide transport system, ATPase component
T28	COG4166	ABC-type oligopeptide transport system, periplasmic component
T28	COG4174	ABC-type uncharacterized transport system, permease component
T28	COG4167	ABC-type antimicrobial peptide transport system, ATPase component
T28	COG4168	ABC-type antimicrobial peptide transport system, permease component
T28	COG4171	ABC-type antimicrobial peptide transport system, permease component
T28	COG4239	ABC-type uncharacterized transport system, permease component
T28	COG1124	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
T28	COG4172	ABC-type uncharacterized transport system, duplicated ATPase component
T57	PF09828	Chromate resistance exported protein
T57	PF02417	Chromate transporter
T57	TIGR00937	2A51: chromate efflux transporter
T57	COG2059	Chromate transport protein ChrA
