From	To
C6DIM2	502365728
C6DIM2	259709954
Q5PJT8	56129549
Q5PJT8	446777878
Q5PJT8	81361008
B4TJT9	194406632
B4TJT9	446777878
B4TJT9	226706832
B5REW3	205274047
B5REW3	446777881
B5REW3	226706831
Q1R698	446776777
Q1R698	122422251
Q1R698	91074235
A9MNW9	160867428
A9MNW9	446777885
A9MNW9	189027258
B4TX73	226706835
B4TX73	194710212
B4TX73	446777882
A9N863	161365748
A9N863	189027259
A9N863	446777878
B4T775	194404295
B4T775	226706833
B4T775	446777878
Q7CPM8	81416202
Q7CPM8	16766660
Q7CPM8	16421925
Q7CPM8	446777878
Q7CPM8	259707773
Q7CPM8	300574733
Q32B98	446776777
Q32B98	81242697
Q32B98	82778549
Q32B98	123561481
Q3YX06	123616034
Q3YX06	73857249
Q3YX06	446776762
A1JRH9	122090937
A1JRH9	123443976
A1JRH9	491316348
A1JRH9	158512894
C0PZR0	224469690
C0PZR0	446777878
C0PZR0	254801258
B5BGR9	197095699
B5BGR9	226706834
B5BGR9	446777878
Q1CDW6	229678259
Q1CDW6	488138886
Q1CDW6	108777295
Q1CDW6	123073128
A4THE9	488138886
A4THE9	145209304
A4THE9	755366002
A4THE9	158514066
Q665H1	755360561
Q665H1	81638339
Q665H1	488138886
Q665H1	51591120
Q8XF83	81627943
Q8XF83	16762124
Q8XF83	16504427
Q8XF83	446777878
Q8XF83	29139248
B1JKI2	254801261
B1JKI2	169749269
B1JKI2	755377240
B1JKI2	501260468
Q1C1L2	488138886
Q1C1L2	123245428
Q8ZAU9	488138886
Q8ZAU9	218930694
Q8ZAU9	81593721
Q8ZAU9	21956848
Q8ZAU9	45438457
A7FDT5	152959132
A7FDT5	501052821
A7FDT5	254801260
A8GK45	254801259
A8GK45	157324388
A8GK45	501097058
B2K437	226706836
B2K437	488138886
B2K437	755387667
B2K437	186700057
Q0T047	110616651
Q0T047	123146653
Q0T047	446776765
A9R1V9	488138886
A9R1V9	755429283
A9R1V9	162354613
A9R1V9	226706837
Q83Q03	30042832
Q83Q03	446776763
Q83Q03	81724128
Q83Q03	24114528
Q83Q03	24053717
Q38967	21536895
Q38967	15242347
Q38967	19699271
Q38967	510236
Q38967	218409038
Q38967	332003969
Q38967	75220717
Q38967	9955509
Q92367	157310471
Q92367	162312325
Q92367	15213922
Q92367	1620894
Q92367	6474978
Q42400	22641
Q42400	15217945
Q42400	218273142
Q42400	18181930
Q42400	75221285
Q42400	8979938
Q42400	2654019
Q42400	404019
Q42400	218409004
Q42400	332195420
Q9FN04	15237539
Q9FN04	75262737
Q9FN04	332010421
Q9FN04	218409044
Q9FN04	10177673
Q9FN04	21536979
Q9FN04	608671
Q9FN04	28059439
Q9FN04	20260650
O59942	553139696
O59942	2995851
O59942	51704238
O59942	758982697
Q8GUM3	27311567
Q8GUM3	608673
Q8GUM3	30693784
Q8GUM3	12320827
Q8GUM3	332193899
Q8GUM3	218409034
Q8GUM3	75244252
Q8GUM3	32441246
Q39134	11079491
Q39134	21553710
Q39134	75220731
Q39134	15223930
Q39134	20466644
Q39134	22136454
Q39134	3970652
Q39134	218409036
Q39134	332197850
Q9FF99	332005832
Q9FF99	75262385
Q9FF99	222423447
Q9FF99	218409040
Q9FF99	332005833
Q9FF99	15529171
Q9FF99	10176848
Q9FF99	23505867
Q9FF99	79328591
Q9FF99	15237834
O80592	75223207
O80592	218409032
O80592	332190407
O80592	3540179
O80592	15218370
O06005	3023220
O06005	728885638
O06005	255767625
O06005	499189041
O06005	251757234
O06005	225185253
O06005	2108260
Q52812	499971083
Q52812	115256608
Q52812	3182887
Q52812	1154894
P92934	1769887
P92934	8809686
P92934	75220393
P92934	15240523
P92934	110738094
P92934	218409042
P92934	332008455
Q52815	1154897
Q52815	115256605
Q52815	3182890
Q52815	499971080
Q52814	115256606
Q52814	1154896
Q52814	499971081
Q52814	3182889
Q52813	1154895
Q52813	499971082
Q52813	3182888
Q52813	115256607
Q52402	7387514
Q52402	939711
Q9P5N2	19111845
Q9P5N2	12230862
Q9P5N2	7838268
Q9PK20	497916967
Q9PK20	8163277
Q9PK20	218292234
Q9PK20	81788966
Q5L5E6	62148378
Q5L5E6	81312535
Q5L5E6	218292329
Q5L5E6	499409806
Q9Z6M8	499186124
Q9Z6M8	499194648
Q9Z6M8	15618939
Q9Z6M8	8163506
Q9Z6M8	4377363
Q9Z6M8	8979404
Q9Z6M8	223634793
Q9Z6M8	81554525
Q9Z6M8	33236913
B0BC08	223634742
B0BC08	497559582
B0BC08	165931447
B0B7U3	165930572
B0B7U3	223634758
B0B7U3	497559582
B0B7U3	166154584
Q3KLY0	76167634
Q3KLY0	223634789
Q3KLY0	76167632
Q3KLY0	76167633
Q9FLT4	332010128
Q9FLT4	15240336
Q9FLT4	10176867
Q9FLT4	259016168
O84379	3328798
O84379	81345138
O84379	15605098
O84379	218292222
O84379	497558938
Q822F2	499316194
Q822F2	218292272
Q822F2	29834837
Q822F2	81715850
Q9SGY1	219897498
Q9SGY1	229470217
Q9SGY1	6573748
Q9SGY1	15220188
Q9SGY1	257725469
Q9SGY1	257735352
Q9SGY1	332190507
Q9SGY1	257718177
Q9SGY1	219895029
Q9SGY1	219905377
Q9LYS2	7529757
Q9LYS2	257340974
Q9LYS2	374095359
Q9LYS2	219804690
Q9LYS2	22331862
Q9LYS2	332646361
Q255I1	89331464
Q255I1	123483648
Q255I1	499777104
Q8H1R4	4490313
Q8H1R4	37202112
Q8H1R4	75329129
Q8H1R4	62318881
Q8H1R4	332660827
Q8H1R4	23296450
Q8H1R4	22329121
Q8H1R4	7270294
Q9FKF2	334188552
Q9FKF2	75333985
Q9FKF2	332010123
Q9FKF2	9758484
Q9C8H1	90103508
Q9C8H1	12322120
Q9C8H1	332193094
Q9C8H1	145336268
Q9C8H1	6634763
Q9MAH4	7769856
Q9MAH4	332194794
Q9MAH4	75336155
Q9MAH4	15219252
Q9FLT8	10176863
Q9FLT8	332010124
Q9FLT8	75334037
Q9FLT8	15240327
Q8RXN0	19423992
Q8RXN0	22329638
Q8RXN0	9665062
Q8RXN0	23297574
Q8RXN0	75330766
Q8RXN0	332191521
Q9FWX8	9972377
Q9FWX8	209572649
Q9FWX8	15217786
Q9FWX8	332189320
Q8LEF6	332004604
Q8LEF6	29824157
Q8LEF6	21553579
Q8LEF6	15241308
Q8LEF6	26452494
Q8LEF6	75330013
Q8LEF6	9757791
Q944H2	11994394
Q944H2	75164179
Q944H2	26451327
Q944H2	332643004
Q944H2	119360059
Q944H2	240255379
Q944H2	16226638
Q9C8H0	75333513
Q9C8H0	257340958
Q9C8H0	332193093
Q9C8H0	219804674
Q9C8H0	334182953
Q9C8H0	12322126
Q9C7F8	75333473
Q9C7F8	12322992
Q9C7F8	15217776
Q9C7F8	332192772
A2XCD4	125542355
A2XCD4	754388574
Q9FWX7	257631134
Q9FWX7	15217785
Q9FWX7	257681058
Q9FWX7	332189319
Q9FWX7	9972378
Q9FWX7	75334433
Q9FWX7	257714340
Q9FWX7	257681324
Q9FWX7	257675503
Q9C8K2	52354014
Q9C8K2	332194553
Q9C8K2	12325360
Q9C8K2	15724278
Q9C8K2	15217942
Q9C8K2	20260526
Q9C8K2	75333524
Q9C8K2	30725528
Q9AT00	3335345
Q9AT00	28436625
Q9AT00	28436631
Q9AT00	28436621
Q9AT00	332196249
Q9AT00	28436619
Q9AT00	20334770
Q9AT00	75333028
Q9AT00	28436627
Q9AT00	28436633
Q9AT00	28436623
Q9AT00	18408274
Q9AT00	13605495
Q9AT00	28436629
Q9AT00	28436617
Q9C7F2	12322986
Q9C7F2	332192781
Q9C7F2	15217809
Q9C7F2	75333472
Q9C8J8	15223853
Q9C8J8	12325372
Q9C8J8	332194549
Q9C8J8	75333523
Q9C8J8	26451909
Q9C6W5	12321303
Q9C6W5	18398110
Q9C6W5	26450146
Q9C6W5	21618054
Q9C6W5	332193269
Q9C6W5	12597842
Q9C6W5	75333445
Q8RWI9	11994269
Q8RWI9	22331230
Q8RWI9	332642938
Q8RWI9	23198394
Q8RWI9	109896158
Q8RWI9	20260310
Q9SKX0	334184186
Q9SKX0	330251033
Q9SKX0	298286923
Q9SKX0	5001458
Q9M2V7	259016169
Q9M2V7	7329639
Q9M2V7	332645818
Q9M2V7	186511086
Q9LZJ5	75335712
Q9LZJ5	15228832
Q9LZJ5	7362750
Q9LZJ5	257337416
Q9LZJ5	332646860
Q9LZJ5	219804698
Q9LSJ8	19698967
Q9LSJ8	30725410
Q9LSJ8	240255457
Q9LSJ8	332643916
Q9LSJ8	75335408
Q9LSJ8	9294571
Q10RX7	937907315
Q10RX7	108706124
Q10RX7	115450667
Q10RX7	113547405
Q10RX7	122247538
Q9LSJ6	9294573
Q9LSJ6	75335407
Q9LSJ6	15232977
Q9LSJ6	332643918
Q9M2V6	75335850
Q9M2V6	332645819
Q9M2V6	7329640
Q9M2V6	15233178
Q9LSJ5	9294574
Q9LSJ5	75335406
Q9LSJ5	15232978
Q9LSJ5	332643919
Q9C9W0	75333593
Q9C9W0	15220604
Q9LJX0	24324262
Q9LJX0	15228506
Q9LJX0	75335092
Q9LJX0	26449438
Q9LJX0	332643977
Q9LJX0	9294227
Q3EDJ0	18379174
Q3EDJ0	332189510
Q3EDJ0	109116151
Q3EDJ0	115502269
Q9M3D6	19310775
Q9M3D6	15028219
Q9M3D6	332645822
Q9M3D6	75335879
Q9M3D6	15233191
Q9M3D6	7019646
Q9M2V5	7329641
Q9M2V5	332645820
Q9M2V5	15233189
Q9M2V5	110737033
Q9M2V5	75335849
Q9ZR72	219897480
Q9ZR72	4883607
Q9ZR72	257735334
Q9ZR72	257624365
Q9ZR72	15228052
Q9ZR72	75338892
Q9ZR72	330254226
Q9ZR72	257718159
Q9ZR72	219905359
Q9ZR72	3849833
Q9ZR72	257725451
Q9ZR72	219895011
Q9ZR72	22655312
Q9C8G9	2340166
Q9C8G9	12322122
Q9C8G9	332193092
Q9C8G9	219804672
Q9C8G9	19699106
Q9C8G9	332193091
Q9C8G9	15220735
Q9C8G9	75333512
Q9C8G9	2316020
Q9C8G9	79318957
Q9C8G9	2459949
Q9C8G9	257340956
Q84M24	75327922
Q84M24	20196891
Q84M24	79595267
Q84M24	15529188
Q84M24	16974369
Q84M24	45504175
Q84M24	20196947
Q84M24	330254923
Q84M24	33350934
Q94FB9	18478515
Q94FB9	18420546
Q94FB9	18478510
Q94FB9	20803766
Q94FB9	4490736
Q94FB9	15320529
Q94FB9	75332181
Q94FB9	7271040
Q94FB9	332661726
Q9FJH6	15239436
Q9FJH6	24030366
Q9FJH6	222424793
Q9FJH6	10176907
Q9FJH6	222424558
Q9FJH6	22655234
Q9FJH6	332009994
Q9FJH6	30725400
Q9FJH6	75333951
Q9LID6	9294008
Q9LID6	332641865
Q9LID6	75335031
Q9LID6	15231301
Q9LID6	28393118
Q9LID6	28827462
O80946	3402672
O80946	26449770
O80946	75318720
O80946	15225076
O80946	330254570
Q9M1Q9	374095360
Q9M1Q9	334186202
Q9M1Q9	332646795
Q9M1Q9	6899925
Q9M3B9	26451845
Q9M3B9	15233244
Q9M3B9	75335876
Q9M3B9	7019665
Q9M3B9	28372882
Q9M3B9	332645847
Q9LZ98	332003069
Q9LZ98	15241744
Q9LZ98	7406423
Q9LZ98	109116088
Q9LZ98	30984550
Q9LZ98	75335697
Q9LZ98	21554262
Q9LZ98	13899119
Q9C8T1	332195959
Q9C8T1	15221728
Q9C8T1	12324363
Q9C8T1	47605542
Q9LFG8	75334940
Q9LFG8	6729502
Q9LFG8	15231827
Q9LFG8	332645578
Q7XA72	30687928
Q7XA72	332643523
Q7XA72	11994752
Q7XA72	334185623
Q7XA72	33589752
Q7XA72	332643522
Q7XA72	322510007
Q9FUT3	110742252
Q9FUT3	7269718
Q9FUT3	18417233
Q9FUT3	31711744
Q9FUT3	27311801
Q9FUT3	75334348
Q9FUT3	9964117
Q9FUT3	332660114
Q3E9B8	109896159
Q3E9B8	332005319
Q3E9B8	15239738
Q9LSJ2	9294577
Q9LSJ2	332643921
Q9LSJ2	334302768
Q9LSJ2	22331385
Q9XF19	21592901
Q9XF19	109116116
Q9XF19	9759512
Q9XF19	4427003
Q9XF19	110736324
Q9XF19	332007676
Q9XF19	15240093
Q9XF19	30017233
Q9XF19	75338543
Q9LVM1	23297027
Q9LVM1	9187883
Q9LVM1	13430844
Q9LVM1	8777328
Q9LVM1	15237155
Q9LVM1	75335558
Q9LVM1	9964121
Q9LVM1	332009644
Q9M0G9	9964119
Q9M0G9	15235382
Q9M0G9	75335755
Q9M0G9	7269717
Q9M0G9	332660113
Q9FNU2	115455421
Q9FNU2	75334146
Q8RY46	30698733
Q8RY46	12324752
Q8RY46	110737412
Q8RY46	12325039
Q8RY46	19335722
Q8RY46	332196967
Q8RY46	75330788
Q9MAG3	7769862
Q9MAG3	110743011
Q9MAG3	332194815
Q9MAG3	322510008
Q9MAG3	145336700
Q0WML0	10177549
Q0WML0	109690059
Q0WML0	110739463
Q0WML0	19335724
Q0WML0	332007007
Q0WML0	122246555
Q0WML0	22327455
Q9FT51	10045564
Q9FT51	75334302
Q9FT51	334185933
Q9FT51	332645409
Q9LZB8	20259177
Q9LZB8	62321357
Q9LZB8	75335698
Q9LZB8	15237574
Q9LZB8	7406401
Q9LZB8	11022645
Q9LZB8	16604565
Q9LZB8	332003288
Q84K47	22331647
Q84K47	332644802
Q84K47	75327852
Q84K47	28973103
Q84K47	4741190
Q84K47	28393591
Q9LK50	374095361
Q9LK50	22331045
Q9LK50	332641791
Q9LK50	10172610
Q94A18	257684450
Q94A18	18401096
Q94A18	332642278
Q94A18	257674911
Q94A18	2062169
Q94A18	15215837
Q94A18	257720120
Q94A18	97180273
Q94A18	257657775
Q94A18	9279716
Q8LPQ6	79325257
Q8LPQ6	332659661
Q8LPQ6	51970020
Q8LPQ6	2980805
Q8LPQ6	7269395
Q8LPQ6	75330301
Q8LPQ6	51969114
Q8LPQ6	51968552
Q8LPQ6	332659662
Q8LPQ6	51970298
Q8LPQ6	30686893
Q8LPQ6	51971421
Q8LPQ6	62318863
Q8LPQ6	51970378
Q8LPQ6	51968974
Q8LPQ6	20453197
Q42093	15226801
Q42093	2909783
Q42093	3132479
Q42093	257711249
Q42093	330253912
Q42093	2316024
Q42093	2909781
Q42093	219804666
Q42093	90103509
Q42093	334184682
Q42093	330253911
Q42093	257340950
Q42093	2440015
Q8LPK2	334302927
Q8LPK2	110742439
Q8LPK2	2108252
Q8LPK2	20466380
Q8LPK2	79487035
Q8LPK2	7269447
Q8LPK2	332659737
Q8LPK2	2108254
Q8LPK2	4538925
Q9FF46	332009989
Q9FF46	75333734
Q9FF46	9759338
Q9FF46	240256467
Q9ZUT0	26450133
Q9ZUT0	4056489
Q9ZUT0	330254294
Q9ZUT0	75339054
Q9ZUT0	15228124
Q8GZ52	97180274
Q8GZ52	2244880
Q8GZ52	5280992
Q8GZ52	334186560
Q8GZ52	7268268
Q8GZ52	332658171
Q8GZ52	26449506
Q8GZ52	7268269
Q6NLC1	4585979
Q6NLC1	75324320
Q6NLC1	45773818
Q6NLC1	22330243
Q6NLC1	332194962
Q6NLC1	46402454
Q9FIB4	251764600
Q9FIB4	9758971
Q9FIB4	22326697
Q9FIB4	332004085
Q8LPJ4	332658760
Q8LPJ4	20466462
Q8LPJ4	2828296
Q8LPJ4	7268716
Q8LPJ4	110742163
Q8LPJ4	23198180
Q8LPJ4	75330288
Q8LPJ4	62321112
Q8LPJ4	22328793
Q84TH5	75328103
Q84TH5	12324545
Q84TH5	18409955
Q84TH5	332197137
Q84TH5	28973763
Q84TH5	15292753
O81016	330252812
O81016	75318727
O81016	257684424
O81016	257674885
O81016	15225814
O81016	3426037
O81016	257719924
O81016	257717713
O81016	257657749
Q93YS4	79597808
Q93YS4	332003648
Q93YS4	75331764
Q93YS4	14488082
Q93YS4	10178109
Q93YS4	25090352
Q93YS4	18415230
Q93YS4	79327143
Q7PC87	257720112
Q7PC87	62319845
Q7PC87	257657767
Q7PC87	20197934
Q7PC87	257674903
Q7PC87	42569669
Q7PC87	4581139
Q7PC87	75326885
Q7PC87	330254152
Q7PC87	257684442
Q8LQX2	115436394
Q8LQX2	75330328
Q8LQX2	21104703
Q8LQX2	113532486
Q8LQX2	33242923
Q8LQX2	257684460
Q8LQX2	257657785
Q8LQX2	257674921
Q8LQX2	257720130
Q7FB56	8388613
Q7FB56	332646612
Q7FB56	334186166
Q7FB56	363548388
Q7PC88	3420057
Q7PC88	257720110
Q7PC88	75326886
Q7PC88	257674901
Q7PC88	257684440
Q7PC88	330253231
Q7PC88	257657765
Q7PC88	42569461
Q7PC80	75140114
Q7PC80	255673455
Q7PC80	297720197
Q7PC80	937897119
Q8GU87	294862497
Q8GU87	113531718
Q8GU87	27368827
Q8GU87	115434858
A2WSH0	33304608
A2WSH0	148839594
A2WSH0	125526802
Q9XIE2	257722242
Q9XIE2	257674394
Q9XIE2	257713784
Q9XIE2	257720808
Q9XIE2	257720106
Q9XIE2	257674760
Q9XIE2	15218936
Q9XIE2	257721836
Q9XIE2	257680966
Q9XIE2	5080820
Q9XIE2	257720744
Q9XIE2	18377973
Q9XIE2	332195511
Q9XIE2	257725601
Q9XIE2	257674897
Q9XIE2	257681586
Q9XIE2	257684436
Q9XIE2	257684384
Q9XIE2	257639330
Q9XIE2	257669144
Q9XIE2	257657761
Q9XIE2	257722710
Q9XIE2	75338638
Q9ZUT8	257674905
Q9ZUT8	257657769
Q9ZUT8	4056482
Q9ZUT8	330254283
Q9ZUT8	257684444
Q9ZUT8	75339056
Q9ZUT8	15228112
Q9ZUT8	257720114
Q0JLC5	115438436
Q0JLC5	122241165
Q0JLC5	113533070
Q0JLC5	27368821
Q0JLC5	53791468
Q0JLC5	53791469
Q8GU89	75328829
Q8GU89	113533072
Q8GU89	53791475
Q8GU89	27368823
Q8GU89	115438444
Q7FMW4	113533642
Q7FMW4	257684462
Q7FMW4	257720132
Q7FMW4	257657787
Q7FMW4	257674923
Q7FMW4	75326748
Q7FMW4	27368811
Q7FMW4	115439663
Q8GU92	75328831
Q8GU92	115438432
Q8GU92	27368817
Q8GU92	113533069
Q8GU92	937897120
Q7PC85	332644144
Q7PC85	9294504
Q7PC85	75326883
Q7PC85	22331443
Q7PC84	257657763
Q7PC84	75326882
Q7PC84	257674899
Q7PC84	12320927
Q7PC84	9755445
Q7PC84	257684438
Q7PC84	332196456
Q7PC84	257720108
Q7PC84	22330476
Q9LFH0	332645574
Q9LFH0	257720116
Q9LFH0	257674907
Q9LFH0	15231821
Q9LFH0	257684446
Q9LFH0	257657771
Q9LFH0	75334941
Q9LFH0	6729499
Q9LK64	332641771
Q9LK64	332641770
Q9LK64	15230686
Q9LK64	257340966
Q9LK64	75335110
Q9LK64	10172595
Q9LK64	219804682
Q9LK64	30682473
Q9LK64	2316016
Q9SYI2	7268566
Q9SYI2	2739309
Q9SYI2	4558551
Q9SYI2	75337854
Q9SYI2	332656681
Q9SYI2	15234322
Q9M0D0	7269930
Q9M0D0	332660348
Q9M0D0	15234702
Q9M0D0	67633778
Q9M0D0	75335748
Q1PEH6	4741191
Q1PEH6	334185806
Q1PEH6	374095510
Q1PEH6	91806542
Q1PEH6	332644803
Q8H0V6	25082978
Q8H0V6	34365711
Q8H0V6	75329083
Q8H0V6	15217680
Q8H0V6	332196131
Q9M9E1	257720752
Q9M9E1	257713792
Q9M9E1	257674895
Q9M9E1	257639338
Q9M9E1	257721844
Q9M9E1	257722912
Q9M9E1	257684392
Q9M9E1	257674402
Q9M9E1	257725609
Q9M9E1	257669152
Q9M9E1	257680974
Q9M9E1	332191211
Q9M9E1	75336094
Q9M9E1	257722718
Q9M9E1	257681594
Q9M9E1	257684434
Q9M9E1	257720104
Q9M9E1	15218218
Q9M9E1	257720816
Q9M9E1	8072390
Q9M9E1	257657759
Q9ZUU9	334302769
Q9ZUU9	20197954
Q9ZUU9	4063751
Q9ZUU9	330252981
Q9ZUU9	30683745
Q8GU88	257674935
Q8GU88	297598808
Q8GU88	75328828
Q8GU88	257657799
Q8GU88	257684474
Q8GU88	49387907
Q8GU88	49387895
Q8GU88	27368825
Q8GU88	257720144
Q8GU88	255670707
Q7PC82	240255859
Q7PC82	332658173
Q7PC82	334186563
Q7PC82	75326880
Q7PC82	332658172
Q7PC83	22328648
Q7PC83	75326881
Q7PC83	332658170
Q5Z9S8	113595890
Q5Z9S8	27368815
Q5Z9S8	75322003
Q5Z9S8	53792557
Q5Z9S8	215768125
Q5Z9S8	115468502
Q9LHD1	332643915
Q9LHD1	15229473
Q9LHD1	75334996
Q9LHD1	11994581
Q7PC86	257684432
Q7PC86	257674893
Q7PC86	5103820
Q7PC86	257657757
Q7PC86	257720814
Q7PC86	257722272
Q7PC86	257680972
Q7PC86	257684390
Q7PC86	257713790
Q7PC86	257639336
Q7PC86	257720750
Q7PC86	257725607
Q7PC86	257720102
Q7PC86	75326884
Q7PC86	15218084
Q7PC86	332191164
Q7PC86	257681592
Q7PC86	257722716
Q7PC86	257669150
Q7PC86	257674400
Q7PC86	257721842
Q7PC81	75326879
Q7PC81	332658174
Q7PC81	186511823
Q6YW62	113623671
Q6YW62	857216051
Q6YW62	40253893
Q6YW62	115476212
Q8GU82	857216061
Q8GU82	27368837
Q8GU82	113624374
Q8GU82	42408550
Q8GU82	115477619
Q8GU86	257722916
Q8GU86	257725613
Q8GU86	257713796
Q8GU86	257657803
Q8GU86	27368829
Q8GU86	257684396
Q8GU86	257674406
Q8GU86	257722722
Q8GU86	257639342
Q8GU86	257674939
Q8GU86	115472429
Q8GU86	257669156
Q8GU86	257681598
Q8GU86	257720820
Q8GU86	33146725
Q8GU86	257720148
Q8GU86	113611349
Q8GU86	257721848
Q8GU86	257680978
Q8GU86	97180276
Q8GU86	257684478
Q8GU86	257720756
Q6EQ60	857216074
Q6EQ60	50252957
Q8GU84	108864550
Q8GU84	27368833
Q8GU84	297612090
Q8GU84	75328825
Q8GU84	255680219
C7J6G6	255678795
C7J6G6	857216068
C7J6G6	297726837
C7J6G6	222641361
