TCluster	Family	Description
T243	TIGR02142	modC_ABC: molybdate ABC transporter, ATP-binding protein
T243	COG4148	ABC-type molybdate transport system, ATPase component
T240	TIGR00890	2A0111: oxalate/formate antiporter family transporter
T240	TIGR04259	oxa_formateAnti: oxalate/formate antiporter
T241	COG4208	ABC-type sulfate transport system, permease component
T45	PF04973	Nicotinamide mononucleotide transporter
T45	TIGR01528	NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC
T45	COG3201	Nicotinamide mononucleotide transporter
T98	TIGR01843	type_I_hlyD: type I secretion membrane fusion protein, HlyD family
T56	PF00916	Sulfate transporter family
T56	TIGR00815	sulP: sulfate permease
T56	COG0659	Sulfate permease and related transporters (MFS superfamily)
T99	COG0833	Amino acid transporters
T310	COG2962	Predicted permeases
T149	TIGR02789	nickel_nikB: nickel ABC transporter, permease subunit NikB
T149	COG0601	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
T148	TIGR01183	ntrB: nitrate ABC transporter, permease protein
T148	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
T311	COG4152	ABC-type uncharacterized transport system, ATPase component
T145	TIGR00971	3a0106s03: sulfate ABC transporter, sulfate-binding protein
T145	COG4150	ABC-type sulfate transport system, periplasmic component
T145	COG1613	ABC-type sulfate transport system, periplasmic component
T144	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
T144	TIGR00800	ncs1: NCS1 nucleoside transporter family
T144	COG1953	Cytosine/uracil/thiamine/allantoin permeases
T144	COG1457	Purine-cytosine permease and related proteins
T147	PF01311	Bacterial export proteins, family 1
T147	TIGR01401	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
T147	COG4791	Type III secretory pathway, component EscT
T146	TIGR01102	yscR: type III secretion apparatus protein, YscR/HrcR family
T146	COG4790	Type III secretory pathway, component EscR
T141	TIGR01291	nodJ: ABC-2 type transporter, NodJ family
T140	PF00482	Type II secretion system (T2SS), protein F
T140	TIGR02120	GspF: type II secretion system protein F
T140	COG1459	Type II secretory pathway, component PulF
T143	TIGR00974	3a0107s02c: phosphate ABC transporter, permease protein PstA
T143	COG0581	ABC-type phosphate transport system, permease component
T142	COG4591	ABC-type transport system, involved in lipoprotein release, permease component
T94	COG1455	Phosphotransferase system cellobiose-specific component IIC
T313	PF05977	Transmembrane secretion effector
T95	PF03806	AbgT putative transporter family
T95	TIGR00819	ydaH: AbgT transporter family
T95	COG2978	Putative p-aminobenzoyl-glutamate transporter
T96	TIGR03819	heli_sec_ATPase: helicase/secretion neighborhood ATPase
T315	COG5656	Importin, protein involved in nuclear import
T259	PF00520	Ion transport protein
T259	PF08412	Ion transport protein N-terminal
T259	PF06512	Sodium ion transport-associated
T258	TIGR01647	ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase
T312	COG4167	ABC-type antimicrobial peptide transport system, ATPase component
T97	PF02321	Outer membrane efflux protein
T97	TIGR01844	type_I_sec_TolC: type I secretion outer membrane protein, TolC family
T97	TIGR01845	outer_NodT: efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
T314	PF05975	Bacterial ABC transporter protein EcsB
T314	COG4473	Predicted ABC-type exoprotein transport system, permease component
T213	COG4214	ABC-type xylose transport system, permease component
T316	COG0765	ABC-type amino acid transport system, permease component
T317	TIGR00895	2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family
T251	COG0630	Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis
T90	TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter
T253	COG4176	ABC-type proline/glycine betaine transport system, permease component
T252	PF04281	Mitochondrial import receptor subunit Tom22
T252	TIGR00986	3a0801s05tom22: mitochondrial import receptor subunit
T255	TIGR02135	phoU_full: phosphate transport system regulatory protein PhoU
T255	COG0704	Phosphate uptake regulator
T254	COG4172	ABC-type uncharacterized transport system, duplicated ATPase component
T257	COG2252	Permeases
T91	COG3833	ABC-type maltose transport systems, permease component
T43	PF08334	Type II secretion system (T2SS), protein G
T43	TIGR01710	typeII_sec_gspG: type II secretion system protein G
T92	PF01749	Importin beta binding domain
T92	COG5064	Karyopherin (importin) alpha
T89	COG4120	ABC-type uncharacterized transport system, permease component
T88	COG4160	ABC-type arginine/histidine transport system, permease component
T87	COG4161	ABC-type arginine transport system, ATPase component
T86	TIGR01842	type_I_sec_PrtD: type I secretion system ATPase
T85	TIGR02797	exbB: tonB-system energizer ExbB
T85	TIGR02805	exbB2: tonB-system energizer ExbB
T85	COG0811	Biopolymer transport proteins
T84	PF04995	Heme exporter protein D (CcmD)
T84	TIGR03141	cytochro_ccmD: heme exporter protein CcmD
T84	COG3114	Heme exporter protein D
T83	PF01313	Bacterial export proteins, family 3
T83	TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family
T83	COG4794	Type III secretory pathway, component EscS
T82	PF00209	Sodium:neurotransmitter symporter family
T82	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
T82	COG0733	Na+-dependent transporters of the SNF family
T81	COG5571	Autotransporter protein or domain, integral membrane beta-barrel involved in protein secretion
T80	TIGR01404	FlhB_rel_III: type III secretion protein, YscU/HrpY family
T80	COG4792	Type III secretory pathway, component EscU
T138	TIGR03648	Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily
T139	PF13103	TonB C terminal
T139	PF03544	Gram-negative bacterial TonB protein C-terminal
T139	COG0810	Periplasmic protein TonB, links inner and outer membranes
T40	TIGR01297	CDF: cation diffusion facilitator family transporter
T40	COG0053	Predicted Co/Zn/Cd cation transporters
T40	COG1230	Co/Zn/Cd efflux system component
T166	COG4138	ABC-type cobalamin transport system, ATPase component
T130	PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB
T130	COG2831	Hemolysin activation/secretion protein
T131	TIGR03258	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
T131	TIGR03265	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
T131	TIGR01187	potA: polyamine ABC transporter, ATP-binding protein
T132	TIGR01191	ccmC: heme exporter protein CcmC
T132	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component
T133	PF08817	WXG100 protein secretion system (Wss), protein YukD
T133	TIGR03920	T7SS_EccD: type VII secretion integral membrane protein EccD
T134	COG4215	ABC-type arginine transport system, permease component
T135	TIGR02634	xylF: D-xylose ABC transporter, D-xylose-binding protein
T135	COG4213	ABC-type xylose transport system, periplasmic component
T136	COG4211	ABC-type glucose/galactose transport system, permease component
T137	COG4598	ABC-type histidine transport system, ATPase component
T14	PF03934	Type II secretion system (T2SS), protein K
T14	COG3156	Type II secretory pathway, component PulK
T15	PF02705	K+ potassium transporter
T15	TIGR00794	kup: potassium uptake protein
T15	COG3158	K+ transporter
T16	PF05437	Branched-chain amino acid transport protein (AzlD)
T16	COG1687	Predicted branched-chain amino acid permeases (azaleucine resistance)
T17	TIGR01190	ccmB: heme exporter protein CcmB
T17	COG2386	ABC-type transport system involved in cytochrome c biogenesis, permease component
T10	PF03151	Triose-phosphate Transporter family
T11	TIGR03022	WbaP_sugtrans: undecaprenyl-phosphate galactose phosphotransferase WbaP
T11	TIGR03023	WcaJ_sugtrans: undecaprenyl-phosphate glucose phosphotransferase
T11	TIGR03025	EPS_sugtrans: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
T12	PF10661	WXG100 protein secretion system (Wss), protein EssA
T12	TIGR03927	T7SS_EssA_Firm: type VII secretion protein EssA
T13	TIGR00932	2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family
T13	COG0569	K+ transport systems, NAD-binding component
T13	COG4651	Kef-type K+ transport system, predicted NAD-binding component
T13	COG0475	Kef-type K+ transport systems, membrane components
T44	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus
T44	TIGR00831	a_cpa1: Na+/H+ antiporter
T44	TIGR00844	c_cpa1: sodium/hydrogen antiporter
T18	PF03739	Predicted permease YjgP/YjgQ family
T18	TIGR04407	LptF_YjgP: LPS export ABC transporter permease LptF
T18	TIGR04408	LptG_lptG: LPS export ABC transporter permease LptG
T18	COG0795	Predicted permeases
T19	PF04051	Transport protein particle (TRAPP) component
T19	COG5128	Transport protein particle (TRAPP) complex subunit
T303	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component
T302	TIGR00892	2A0113: monocarboxylate transporter
T301	TIGR00913	2A0310: amino acid permease (yeast)
T300	TIGR00914	2A0601: heavy metal efflux pump, CzcA family
T300	COG3696	Putative silver efflux pump
T307	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
T284	PF11262	Transcription factor/nuclear export subunit protein 2
T284	PF11732	Transcription- and export-related complex subunit
T305	COG4166	ABC-type oligopeptide transport system, periplasmic component
T304	COG4619	ABC-type uncharacterized transport system, ATPase component
T309	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component
T308	COG4662	ABC-type tungstate transport system, periplasmic component
T1	PF01899	Na+/H+ ion antiporter subunit
T1	TIGR00942	2a6301s05: multicomponent Na+:H+ antiporter
T1	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit
T8	PF01297	Periplasmic solute binding protein family
T8	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin
T8	COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin
T228	COG4209	ABC-type polysaccharide transport system, permease component
T229	TIGR03431	PhnD: phosphonate ABC transporter, periplasmic phosphonate binding protein
T229	TIGR01098	3A0109s03R: phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
T229	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component
T224	TIGR03003	ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD
T225	TIGR03004	ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC
T226	TIGR03005	ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
T227	COG4107	ABC-type phosphonate transport system, ATPase component
T220	COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
T221	TIGR00968	3a0106s01: sulfate ABC transporter, ATP-binding protein
T221	COG1118	ABC-type sulfate/molybdate transport systems, ATPase component
T222	PF05157	Type II secretion system (T2SS), protein E, N-terminal domain
T222	COG2804	Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB
T93	PF02064	MAS20 protein import receptor
T93	TIGR00985	3a0801s04tom: mitochondrial import receptor subunit
T282	PF02534	Type IV secretory system Conjugative DNA transfer
T282	COG3505	Type IV secretory pathway, VirD4 components
T283	PF04612	Type II secretion system (T2SS), protein M
T283	COG3149	Type II secretory pathway, component PulM
T280	COG4555	ABC-type Na+ transport system, ATPase component
T128	PF06379	L-rhamnose-proton symport protein (RhaT)
T286	PF11700	Vacuole effluxer Atg22 like
T286	COG2270	Permeases of the major facilitator superfamily
T287	COG1682	ABC-type polysaccharide/polyol phosphate export systems, permease component
T281	PF02667	Short chain fatty acid transporter
T281	COG2031	Short chain fatty acids transporter
T285	COG5215	Karyopherin (importin) beta
T123	PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)
T123	TIGR02555	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
T122	COG2011	ABC-type metal ion transport system, permease component
T121	PF03605	Anaerobic c4-dicarboxylate membrane transporter
T121	TIGR00770	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
T121	COG2704	Anaerobic C4-dicarboxylate transporter
T120	TIGR00787	dctP: TRAP transporter solute receptor, DctP family
T120	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component
T127	TIGR00784	citMHS: citrate transporter
T127	COG2851	H+/citrate symporter
T126	PF02417	Chromate transporter
T126	TIGR00937	2A51: chromate efflux transporter
T126	COG2059	Chromate transport protein ChrA
T125	PF09480	Type III secretion system protein PrgH-EprH (PrgH)
T125	TIGR02554	PrgH: type III secretion apparatus protein PrgH/EprH
T124	PF09483	Type III secretion protein (HpaP)
T124	TIGR02557	HpaP: type III secretion protein HpaP
T29	TIGR00931	antiport_nhaC: Na+/H+ antiporter NhaC
T29	COG2056	Predicted permease
T29	COG1757	Na+/H+ antiporter
T28	TIGR01523	ATPase-IID_K-Na: potassium/sodium efflux P-type ATPase, fungal-type
T57	TIGR00950	2A78: carboxylate/amino acid/amine transporter
T0	PF03612	Sorbitol phosphotransferase enzyme II N-terminus
T0	PF07663	Sorbitol phosphotransferase enzyme II C-terminus
T0	COG3732	Phosphotransferase system sorbitol-specific component IIBC
T21	PF01733	Nucleoside transporter
T21	TIGR00939	2a57: nucleoside Transporter
T20	TIGR01256	modA: molybdate ABC transporter, periplasmic molybdate-binding protein
T20	TIGR03730	tungstate_WtpA: tungstate ABC transporter binding protein WtpA
T20	COG0725	ABC-type molybdate transport system, periplasmic component
T23	TIGR02770	nickel_nikD: nickel import ATP-binding protein NikD
T22	PF00375	Sodium:dicarboxylate symporter family
T22	COG1823	Predicted Na+/dicarboxylate symporter
T22	COG3633	Na+/serine symporter
T22	COG1301	Na+/H+-dicarboxylate symporters
T25	PF12793	Sugar transport-related sRNA regulator N-term
T25	COG4533	ABC-type uncharacterized transport system, periplasmic component
T24	TIGR01730	RND_mfp: efflux transporter, RND family, MFP subunit
T24	TIGR00998	8a0101: efflux pump membrane protein
T24	COG1566	Multidrug resistance efflux pump
T27	PF01235	Sodium:alanine symporter family
T27	COG1115	Na+/alanine symporter
T26	PF03471	Transporter associated domain
T26	COG3263	NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain
T26	COG4536	Putative Mg2+ and Co2+ transporter CorB
T26	COG4535	Putative Mg2+ and Co2+ transporter CorC
T66	COG4145	Na+/panthothenate symporter
T107	TIGR00893	2A0114: D-galactonate transporter
T107	TIGR00881	2A0104: phosphoglycerate transporter family protein
T107	TIGR00712	glpT: glycerol-3-phosphate transporter
T107	COG2271	Sugar phosphate permease
T48	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
T48	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)
T48	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components
T9	TIGR02568	LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
T9	TIGR02511	type_III_tyeA: type III secretion effector delivery regulator, TyeA family
T190	PF10140	WXG100 protein secretion system (Wss), protein YukC
T190	TIGR03926	T7_EssB: type VII secretion protein EssB
T239	PF03812	2-keto-3-deoxygluconate permease
T239	TIGR00793	kdgT: 2-keto-3-deoxygluconate transporter
T238	PF11130	F pilus assembly Type-IV secretion system for plasmid transfer
T238	TIGR02746	TraC-F-type: type-IV secretion system protein TraC
T237	COG4168	ABC-type antimicrobial peptide transport system, permease component
T236	PF00950	ABC 3 transport family
T236	COG1108	ABC-type Mn2+/Zn2+ transport systems, permease components
T235	COG4597	ABC-type amino acid transport system, permease component
T234	PF03773	Predicted permease
T234	COG0701	Predicted permeases
T233	TIGR00975	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T233	COG0226	ABC-type phosphate transport system, periplasmic component
T232	TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family
T231	TIGR04056	OMP_RagA_SusC: TonB-linked outer membrane protein, SusC/RagA family
T231	TIGR04057	SusC_RagA_signa: TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region
T230	PF07931	Chloramphenicol phosphotransferase-like protein
T230	COG3896	Chloramphenicol 3-O-phosphotransferase
T299	TIGR00915	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T299	COG0841	Cation/multidrug efflux pump
T298	COG4239	ABC-type uncharacterized transport system, permease component
T295	TIGR01728	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
T294	COG4606	ABC-type enterochelin transport system, permease component
T297	COG5006	Predicted permease, DMT superfamily
T296	PF05134	Type II secretion system (T2SS), protein L
T296	TIGR01709	typeII_sec_gspL: type II secretion system protein L
T296	COG3297	Type II secretory pathway, component PulL
T291	PF06800	Sugar transport protein
T291	COG4975	Putative glucose uptake permease
T290	TIGR00711	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
T293	TIGR01729	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein
T293	COG4521	ABC-type taurine transport system, periplasmic component
T292	COG4525	ABC-type taurine transport system, ATPase component
T38	TIGR00941	2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit
T38	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit
T39	TIGR03227	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
T39	TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
T39	TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily
T39	COG1840	ABC-type Fe3+ transport system, periplasmic component
T39	COG1653	ABC-type sugar transport system, periplasmic component
T39	COG4143	ABC-type thiamine transport system, periplasmic component
T36	PF04142	Nucleotide-sugar transporter
T37	PF13906	C-terminus of AA_permease
T37	TIGR04299	antiport_PotE: putrescine-ornithine antiporter
T37	TIGR00907	2A0304: amino acid permease
T37	TIGR00906	2A0303: cationic amino acid transport permease
T37	TIGR03810	arg_ornith_anti: arginine-ornithine antiporter
T37	TIGR00911	2A0308: L-type amino acid transporter
T37	TIGR00910	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
T37	TIGR00909	2A0306: amino acid transporter
T34	PF04392	ABC transporter substrate binding protein
T34	COG2984	ABC-type uncharacterized transport system, periplasmic component
T35	TIGR00797	matE: MATE efflux family protein
T35	COG0534	Na+-driven multidrug efflux pump
T32	PF12409	P5-type ATPase cation transporter
T33	PF06826	Predicted Permease Membrane Region
T33	TIGR03802	Asp_Ala_antiprt: aspartate-alanine antiporter
T33	TIGR01625	YidE_YbjL_dupl: AspT/YidE/YbjL antiporter duplication domain
T30	PF08389	Exportin 1-like protein
T30	COG5101	Importin beta-related nuclear transport receptor
T31	PF11988	Retrograde transport protein Dsl1 N terminal
T31	PF11989	Retrograde transport protein Dsl1 C terminal
T250	PF13000	Acetyl-coenzyme A transporter 1
T250	TIGR00901	2A0125: AmpG-like permease
T321	PF12019	Type II transport protein GspH
T321	TIGR01708	typeII_sec_gspH: type II secretion system protein H
T320	COG4586	ABC-type uncharacterized transport system, ATPase component
T53	TIGR02769	nickel_nikE: nickel import ATP-binding protein NikE
T129	TIGR00775	NhaD: Na+/H+ antiporter, NhaD family
T129	TIGR00935	2a45: arsenite/antimonite efflux pump membrane protein
T208	TIGR00954	3a01203: peroxysomal long chain fatty acyl transporter
T209	COG4603	ABC-type uncharacterized transport system, permease component
T202	TIGR00924	yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
T202	TIGR00926	2A1704: oligopeptide transporter, peptide:H+ symporter
T202	COG3104	Dipeptide/tripeptide permease
T203	PF02374	Anion-transporting ATPase
T203	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
T200	COG2893	Phosphotransferase system, mannose/fructose-specific component IIA
T200	COG3444	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB
T201	PF07155	ECF-type riboflavin transporter, S component
T201	TIGR04518	ECF_S_folT_fam: ECF transporter S component, folate family
T206	COG4177	ABC-type branched-chain amino acid transport system, permease component
T207	TIGR04281	peripla_PGF_1: putative ABC transporter PGF-CTERM-modified substrate-binding protein
T207	TIGR03659	IsdE: heme ABC transporter, heme-binding protein isdE
T207	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component
T204	COG4171	ABC-type antimicrobial peptide transport system, permease component
T205	TIGR02122	TRAP_TAXI: TRAP transporter solute receptor, TAXI family
T205	COG2358	TRAP-type uncharacterized transport system, periplasmic component
T178	PF03135	CagE, TrbE, VirB family, component of type IV transporter system
T178	TIGR00929	VirB4_CagE: type IV secretion/conjugal transfer ATPase, VirB4 family
T178	COG3451	Type IV secretory pathway, VirB4 components
T223	TIGR00949	2A76: homoserine/Threonine efflux protein
T223	COG1280	Putative threonine efflux protein
T180	PF01636	Phosphotransferase enzyme family
T180	COG3173	Predicted aminoglycoside phosphotransferase
T180	COG3231	Aminoglycoside phosphotransferase
T218	COG4181	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component
T69	PF00909	Ammonium Transporter Family
T69	TIGR00836	amt: ammonium transporter
T69	COG0004	Ammonia permease
T68	TIGR00833	actII: transport protein
T68	COG2409	Predicted drug exporters of the RND superfamily
T215	TIGR01184	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T214	TIGR00972	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T214	COG1117	ABC-type phosphate transport system, ATPase component
T217	TIGR01773	GABAperm: GABA permease
T217	COG1113	Gamma-aminobutyrate permease and related permeases
T216	PF05525	Branched-chain amino acid transport protein
T216	TIGR00796	livcs: branched-chain amino acid transport system II carrier protein
T216	COG1114	Branched-chain amino acid permeases
T211	COG4605	ABC-type enterochelin transport system, permease component
T210	COG4604	ABC-type enterochelin transport system, ATPase component
T198	PF07662	Na+ dependent nucleoside transporter C-terminus
T198	PF01773	Na+ dependent nucleoside transporter N-terminus
T198	COG1972	Nucleoside permease
T212	PF02405	Permease
T212	TIGR00056	TIGR00056: ABC transport permease subunit
T212	COG0767	ABC-type transport system involved in resistance to organic solvents, permease component
T196	PF03821	Golgi 4-transmembrane spanning transporter
T196	TIGR00799	mtp: Golgi 4-transmembrane spanning transporter
T197	PF03137	Organic Anion Transporter Polypeptide (OATP) family
T197	TIGR00805	oat: sodium-independent organic anion transporter
T194	TIGR01000	bacteriocin_acc: bacteriocin secretion accessory protein
T195	TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
T195	TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter
T195	COG1283	Na+/phosphate symporter
T219	PF03611	PTS system sugar-specific permease component
T219	COG3775	Phosphotransferase system, galactitol-specific IIC component
T193	PF02553	Cobalt transport protein component CbiN
T193	TIGR01165	cbiN: cobalt transport protein
T193	COG1930	ABC-type cobalt transport system, periplasmic component
T192	PF09392	Type III secretion needle MxiH like
T192	TIGR02105	III_needle: type III secretion apparatus needle protein
T191	TIGR00886	2A0108: nitrite transporter
T191	COG2223	Nitrate/nitrite transporter
T116	PF05662	Coiled stalk of trimeric autotransporter adhesin
T116	PF05658	Head domain of trimeric autotransporter adhesin
T117	PF10636	Hemin uptake protein hemP
T117	COG4256	Hemin uptake protein
T114	PF02472	Biopolymer transport protein ExbD/TolR
T114	TIGR02803	ExbD_1: TonB system transport protein ExbD
T114	TIGR02804	ExbD_2: TonB system transport protein ExbD
T114	COG0848	Biopolymer transport protein
T115	COG3839	ABC-type sugar transport systems, ATPase components
T112	PF00939	Sodium:sulfate symporter transmembrane region
T112	TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family
T113	TIGR02138	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T113	COG0573	ABC-type phosphate transport system, permease component
T110	PF13721	SecD export protein N-terminal TM region
T110	TIGR00966	3a0501s07: protein-export membrane protein SecF
T111	TIGR03925	T7SS_EccC_b: type VII secretion protein EccCb
T111	TIGR03924	T7SS_EccC_a: type VII secretion protein EccCa
T67	TIGR01010	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
T67	COG3524	Capsule polysaccharide export protein
T118	TIGR01779	TonB-B12: TonB-dependent vitamin B12 receptor
T119	PF02669	K+-transporting ATPase, c chain
T119	TIGR00681	kdpC: K+-transporting ATPase, C subunit
T119	COG2156	K+-transporting ATPase, c chain
T174	PF01384	Phosphate transporter family
T174	COG0306	Phosphate/sulphate permeases
T175	PF05101	Type IV secretory pathway, VirB3-like protein
T175	COG3702	Type IV secretory pathway, VirB3 components
T176	PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit
T176	TIGR03136	malonate_biotin: Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
T176	COG1883	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
T177	TIGR00983	3a0801s02tim23: mitochondrial import inner membrane translocase subunit
T177	TIGR00980	3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17
T177	COG5596	Mitochondrial import inner membrane translocase, subunit TIM22
