TransporterGroup	Family	Description
T364	TIGR02568	LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
T367	TIGR01497	kdpB: K+-transporting ATPase, B subunit
T367	COG2216	High-affinity K+ transport system, ATPase chain B
T366	PF16954	Haem-transporter, endosomal/lysosomal, haem-responsive gene
T361	TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily
T360	TIGR02857	CydD: thiol reductant ABC exporter, CydD subunit
T360	COG4988	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
T248	TIGR03226	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein
T249	COG4559	ABC-type hemin transport system, ATPase component
T246	PF06738	Putative threonine/serine exporter
T246	PF12821	Threonine/Serine exporter, ThrE
T247	TIGR01097	PhnE: phosphonate ABC transporter, permease protein PhnE
T247	COG3639	ABC-type phosphate/phosphonate transport system, permease component
T244	PF05638	Type VI secretion system effector, Hcp
T244	TIGR03344	VI_effect_Hcp1: type VI secretion system effector, Hcp1 family
T245	COG0395	ABC-type sugar transport system, permease component
T242	PF02535	ZIP Zinc transporter
T242	COG0428	Predicted divalent heavy-metal cations transporter
T243	COG0396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component
T240	PF07672	Mycoplasma MFS transporter
T241	PF03616	Sodium/glutamate symporter
T241	TIGR00210	gltS: sodium/glutamate symporter
T241	COG0786	Na+/glutamate symporter
T228	TIGR01189	ccmA: heme ABC exporter, ATP-binding protein CcmA
T228	COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component
T229	PF05031	Iron Transport-associated domain
T229	TIGR03657	IsdB: heme uptake protein IsdB
T229	TIGR03656	IsdC: heme uptake protein IsdC
T229	TIGR03658	IsdH_HarA: haptoglobin-binding heme uptake protein HarA
T59	PF03334	Na+/H+ antiporter subunit
T149	PF04612	Type II secretion system (T2SS), protein M
T149	COG3149	Type II secretory pathway, component PulM
T148	PF14510	ABC-transporter extracellular N-terminal
T148	PF08370	Plant PDR ABC transporter associated
T148	PF06422	CDR ABC transporter
T148	COG0842	ABC-type multidrug transport system, permease component
T419	PF07331	Tripartite tricarboxylate transporter TctB family
T418	TIGR00776	RhaT: RhaT L-rhamnose-proton symporter family protein
T145	PF04995	Heme exporter protein D (CcmD)
T144	PF02355	Protein export membrane protein
T144	TIGR00916	2A0604s01: protein-export membrane protein, SecD/SecF family
T144	TIGR00966	3a0501s07: protein-export membrane protein SecF
T144	TIGR01129	secD: protein-export membrane protein SecD
T147	PF00939	Sodium:sulfate symporter transmembrane region
T147	TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family
T147	COG0471	Di- and tricarboxylate transporters
T146	TIGR03925	T7SS_EccC_b: type VII secretion protein EccCb
T146	TIGR03924	T7SS_EccC_a: type VII secretion protein EccCa
T141	PF12317	Intraflagellar transport complex B protein 46 C terminal
T140	TIGR02546	III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
T143	PF06450	Bacterial Na+/H+ antiporter B (NhaB)
T143	TIGR00774	NhaB: Na+/H+ antiporter NhaB
T143	COG3067	Na+/H+ antiporter
T142	PF00844	Geminivirus coat protein/nuclear export factor BR1 family
T224	PF01925	Sulfite exporter TauE/SafE
T224	COG0730	Predicted permeases
T48	PF04142	Nucleotide-sugar transporter
T48	TIGR00803	nst: UDP-galactose transporter
T48	COG5070	Nucleotide-sugar transporter
T95	COG1174	ABC-type proline/glycine betaine transport systems, permease component
T96	TIGR03255	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV
T96	COG1177	ABC-type spermidine/putrescine transport system, permease component II
T227	COG2391	Predicted transporter component
T213	PF10337	Putative ER transporter, 6TM, N-terminal
T213	PF10334	Aromatic acid exporter family member 2
T220	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components
T199	PF00474	Sodium:solute symporter family
T199	TIGR03648	Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily
T199	TIGR02711	symport_actP: cation/acetate symporter ActP
T199	TIGR00813	sss: transporter, solute:sodium symporter (SSS) family
T199	COG0591	Na+/proline symporter
T199	COG4147	Predicted symporter
T199	COG4146	Predicted symporter
T91	TIGR00831	a_cpa1: Na+/H+ antiporter
T43	PF03083	Sugar efflux transporter for intercellular exchange
T92	PF00909	Ammonium Transporter Family
T92	TIGR00836	amt: ammonium transporter
T92	COG0004	Ammonia permease
T89	PF02687	FtsX-like permease family
T89	TIGR00439	ftsX: putative protein insertion permease FtsX
T89	COG4591	ABC-type transport system, involved in lipoprotein release, permease component
T88	TIGR01010	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
T88	COG3524	Capsule polysaccharide export protein
T87	TIGR02119	panF: sodium/pantothenate symporter
T87	COG4145	Na+/panthothenate symporter
T86	PF14785	Maltose transport system permease protein MalF P2 domain
T86	COG1175	ABC-type sugar transport systems, permease components
T85	TIGR00802	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
T85	COG3376	High-affinity nickel permease
T84	PF06965	Na+/H+ antiporter 1
T84	TIGR00773	NhaA: Na+/H+ antiporter NhaA
T84	COG3004	Na+/H+ antiporter
T83	PF02447	GntP family permease
T83	TIGR00791	gntP: transporter, gluconate:H+ symporter (GntP) family
T83	COG2610	H+/gluconate symporter and related permeases
T82	PF09604	F subunit of K+-transporting ATPase (Potass_KdpF)
T82	TIGR02115	potass_kdpF: K+-transporting ATPase, F subunit
T81	TIGR00890	2A0111: oxalate/formate antiporter family transporter
T80	PF10661	WXG100 protein secretion system (Wss), protein EssA
T80	TIGR03927	T7SS_EssA_Firm: type VII secretion protein EssA
T40	PF15894	Inhibitor of glucose uptake transporter SgrT
T192	PF00482	Type II secretion system (T2SS), protein F
T192	TIGR02120	GspF: type II secretion system protein F
T192	COG1459	Type II secretory pathway, component PulF
T218	COG1126	ABC-type polar amino acid transport system, ATPase component
T45	PF04145	Ctr copper transporter family
T44	TIGR02141	modB_ABC: molybdate ABC transporter, permease protein
T116	TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter
T116	COG4615	ABC-type siderophore export system, fused ATPase and permease components
T117	COG3833	ABC-type maltose transport systems, permease component
T363	TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
T362	TIGR01399	hrcV: type III secretion protein, HrcV family
T362	COG4789	Type III secretory pathway, component EscV
T369	PF10599	Retro-transposon transporting motif
T368	TIGR02567	YscW: type III secretion system chaperone YscW
T50	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit
T38	PF03810	Importin-beta N-terminal domain
T38	PF08389	Exportin 1-like protein
T38	COG5101	Importin beta-related nuclear transport receptor
T38	COG5215	Karyopherin (importin) beta
T38	COG5656	Importin, protein involved in nuclear import
T39	PF11988	Retrograde transport protein Dsl1 N terminal
T39	PF11989	Retrograde transport protein Dsl1 C terminal
T36	PF01235	Sodium:alanine symporter family
T36	COG1115	Na+/alanine symporter
T37	PF03553	Na+/H+ antiporter family
T37	TIGR00931	antiport_nhaC: Na+/H+ antiporter NhaC
T37	COG2056	Predicted permease
T37	COG1757	Na+/H+ antiporter
T34	PF03471	Transporter associated domain
T34	COG4536	Putative Mg2+ and Co2+ transporter CorB
T34	COG4535	Putative Mg2+ and Co2+ transporter CorC
T35	PF11382	Copper transport outer membrane protein, MctB
T32	PF16572	Long alpha hairpin domain of cation efflux system protein, CusB
T32	TIGR01730	RND_mfp: efflux transporter, RND family, MFP subunit
T32	TIGR00998	8a0101: efflux pump membrane protein
T32	COG1566	Multidrug resistance efflux pump
T33	PF12793	Sugar transport-related sRNA regulator N-term
T33	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle
T33	TIGR02294	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
T33	COG4166	ABC-type oligopeptide transport system, periplasmic component
T33	COG4533	ABC-type uncharacterized transport system, periplasmic component
T33	COG0747	ABC-type dipeptide transport system, periplasmic component
T30	COG1823	Predicted Na+/dicarboxylate symporter
T31	PF08352	Oligopeptide/dipeptide transporter, C-terminal region
T31	TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
T31	COG4608	ABC-type oligopeptide transport system, ATPase component
T31	COG4172	ABC-type uncharacterized transport system, duplicated ATPase component
T31	COG4170	ABC-type antimicrobial peptide transport system, ATPase component
T31	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
T31	COG1123	ATPase components of various ABC-type transport systems, contain duplicated ATPase
T329	PF03594	Benzoate membrane transport protein
T329	TIGR00843	benE: benzoate transporter
T328	TIGR02315	ABC_phnC: phosphonate ABC transporter, ATP-binding protein
T328	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component
T321	PF11130	F pilus assembly Type-IV secretion system for plasmid transfer
T321	TIGR02746	TraC-F-type: type-IV secretion system protein TraC
T320	PF16996	Accessory secretory protein Sec Asp4
T323	PF03812	2-keto-3-deoxygluconate permease
T323	TIGR00793	kdgT: 2-keto-3-deoxygluconate transporter
T322	PF08627	CRT-like, chloroquine-resistance transporter-like
T325	TIGR00969	3a0106s02: sulfate ABC transporter, permease protein
T325	TIGR02140	permease_CysW: sulfate ABC transporter, permease protein CysW
T325	COG4208	ABC-type sulfate transport system, permease component
T324	PF11711	Inner membrane protein import complex subunit Tim54
T327	TIGR00891	2A0112: MFS transporter, sialate:H+ symporter (SHS) family
T326	TIGR02142	modC_ABC: molybdate ABC transporter, ATP-binding protein
T326	COG4148	ABC-type molybdate transport system, ATPase component
T110	PF17112	Mitochondrial import receptor subunit Tom6, fungal
T215	PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)
T215	TIGR02508	type_III_yscG: type III secretion protein, YscG family
T214	PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family
T214	COG1859	RNA:NAD 2'-phosphotransferase
T49	PF00324	Amino acid permease
T49	PF08403	Amino acid permease N-terminal
T49	PF13906	C-terminus of AA_permease
T49	TIGR00906	2A0303: cationic amino acid transport permease
T49	TIGR04299	antiport_PotE: putrescine-ornithine antiporter
T49	TIGR00930	2a30: K-Cl cotransporter
T49	TIGR03810	arg_ornith_anti: arginine-ornithine antiporter
T49	TIGR00905	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
T49	TIGR00911	2A0308: L-type amino acid transporter
T49	TIGR00910	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
T49	TIGR00913	2A0310: amino acid permease (yeast)
T49	TIGR00909	2A0306: amino acid transporter
T49	COG0833	Amino acid transporters
T216	PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
T216	PF00367	phosphotransferase system, EIIB
T216	COG1264	Phosphotransferase system IIB components
T216	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
T216	COG2190	Phosphotransferase system IIA components
T211	COG2831	Hemolysin activation/secretion protein
T210	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
T210	PF02807	ATP:guanido phosphotransferase, N-terminal domain
T198	COG4795	Type II secretory pathway, component PulJ
T212	PF02411	MerT mercuric transport protein
T196	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
T196	TIGR00800	ncs1: NCS1 nucleoside transporter family
T196	COG1953	Cytosine/uracil/thiamine/allantoin permeases
T196	COG1457	Purine-cytosine permease and related proteins
T197	TIGR00971	3a0106s03: sulfate ABC transporter, sulfate-binding protein
T197	COG4150	ABC-type sulfate transport system, periplasmic component
T197	COG1613	ABC-type sulfate transport system, periplasmic component
T41	PF06826	Predicted Permease Membrane Region
T41	TIGR03802	Asp_Ala_antiprt: aspartate-alanine antiporter
T41	TIGR01625	YidE_YbjL_dupl: AspT/YidE/YbjL antiporter duplication domain
T41	COG2985	Predicted permease
T195	TIGR01295	PedC_BrcD: putative bacteriocin transport accessory protein
T219	COG1127	ABC-type transport system involved in resistance to organic solvents, ATPase component
T193	TIGR01291	nodJ: ABC-2 type transporter, NodJ family
T190	PF11124	Inorganic phosphate transporter Pho86
T191	PF13103	TonB C terminal
T191	PF03544	Gram-negative bacterial TonB protein C-terminal
T191	TIGR01352	tonB_Cterm: TonB family C-terminal domain
T191	COG0810	Periplasmic protein TonB, links inner and outer membranes
T111	TIGR02797	exbB: tonB-system energizer ExbB
T111	TIGR02805	exbB2: tonB-system energizer ExbB
T111	COG0811	Biopolymer transport proteins
T358	COG4149	ABC-type molybdate transport system, permease component
T359	PF05025	RbsD / FucU transport protein family
T354	COG2409	Predicted drug exporters of the RND superfamily
T355	PF15178	Mitochondrial import receptor subunit TOM5 homolog
T356	PF10642	Mitochondrial import receptor subunit or translocase
T357	PF15171	Neuropeptide secretory protein family, NPQ, spexin
T350	TIGR03496	FliI_clade1: flagellar protein export ATPase FliI
T350	TIGR03498	FliI_clade3: flagellar protein export ATPase FliI
T350	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase
T351	PF07168	Ureide permease
T352	COG4778	ABC-type phosphonate transport system, ATPase component
T353	TIGR02503	type_III_SycN: type III secretion chaperone SycN
T174	PF10634	Fe2+ transport protein
T174	COG3470	Uncharacterized protein probably involved in high-affinity Fe2+ transport
T175	TIGR04183	Por_Secre_tail: Por secretion system C-terminal sorting domain
T176	PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB
T177	PF00188	Cysteine-rich secretory protein family
T170	PF02417	Chromate transporter
T170	TIGR00937	2A51: chromate efflux transporter
T170	COG2059	Chromate transport protein ChrA
T171	PF06808	Tripartite ATP-independent periplasmic transporter, DctM component
T171	TIGR00786	dctM: TRAP transporter, DctM subunit
T171	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component
T172	PF03480	Bacterial extracellular solute-binding protein, family 7
T172	TIGR00787	dctP: TRAP transporter solute receptor, DctP family
T172	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component
T172	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component
T173	PF06379	L-rhamnose-proton symport protein (RhaT)
T54	PF10270	Membrane magnesium transporter
T178	PF04039	Domain related to MnhB subunit of Na+/H+ antiporter
T178	TIGR00943	2a6301s02: monovalent cation:proton antiporter
T179	TIGR04033	export_SdpB: antimicrobial peptide system protein, SdpB family
T55	PF01758	Sodium Bile acid symporter family
T55	TIGR00841	bass: bile acid transporter
T55	COG0385	Predicted Na+-dependent transporter
T55	COG0798	Arsenite efflux pump ACR3 and related permeases
T453	PF06979	Assembly, mitochondrial proton-transport ATP synth complex
T452	COG3263	NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain
T451	TIGR02121	Na_Pro_sym: sodium/proline symporter
T450	PF13593	SBF-like CPA transporter family (DUF4137)
T457	TIGR01417	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
T456	COG4619	ABC-type uncharacterized transport system, ATPase component
T455	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component
T454	TIGR00820	zip: ZIP zinc/iron transport family
T109	PF02659	Putative manganese efflux pump
T108	TIGR03141	cytochro_ccmD: heme exporter protein CcmD
T108	COG3114	Heme exporter protein D
T459	COG4135	ABC-type uncharacterized transport system, permease component
T458	TIGR02868	CydC: thiol reductant ABC exporter, CydC subunit
T458	COG4987	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components
T415	PF11093	Mitochondrial export protein Som1
T414	PF09474	Type III secretion system YscX (type_III_YscX)
T414	TIGR02502	type_III_YscX: type III secretion protein, YscX family
T413	PF08626	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
T412	COG1687	Predicted branched-chain amino acid permeases (azaleucine resistance)
T411	PF06646	High affinity transport system protein p37
T410	COG1682	ABC-type polysaccharide/polyol phosphate export systems, permease component
T46	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
T46	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components
T58	PF04973	Nicotinamide mononucleotide transporter
T58	TIGR01528	NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC
T58	COG3201	Nicotinamide mononucleotide transporter
T183	TIGR01193	bacteriocin_ABC: ABC-type bacteriocin transporter
T298	COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
T101	PF17001	Type III secretion basal body protein I, YscI, HrpB, PscI
T101	TIGR02497	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
T100	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
T103	TIGR01404	FlhB_rel_III: type III secretion protein, YscU/HrpY family
T103	COG4792	Type III secretory pathway, component EscU
T102	COG1178	ABC-type Fe3+ transport system, permease component
T105	COG5571	Autotransporter protein or domain, integral membrane beta-barrel involved in protein secretion
T104	TIGR00400	mgtE: magnesium transporter
T104	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)
T389	PF05662	Coiled stalk of trimeric autotransporter adhesin
T389	PF05658	Head domain of trimeric autotransporter adhesin
T388	COG1925	Phosphotransferase system, HPr-related proteins
T107	PF01313	Bacterial export proteins, family 3
T107	TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family
T107	COG4794	Type III secretory pathway, component EscS
T383	TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit
T383	COG4175	ABC-type proline/glycine betaine transport system, ATPase component
T382	PF01970	Tripartite tricarboxylate transporter TctA family
T381	COG2072	Predicted flavoprotein involved in K+ transport
T380	TIGR00886	2A0108: nitrite transporter
T387	PF03547	Membrane transport protein
T387	TIGR00946	2a69: auxin efflux carrier
T387	COG0679	Predicted permeases
T386	TIGR00948	2a75: L-lysine exporter
T386	COG1279	Lysine efflux permease
T385	PF03886	ABC-type transport auxiliary lipoprotein component
T384	PF03253	Urea transporter
T384	COG4413	Urea transporter
T310	PF10104	Di-sulfide bridge nucleocytoplasmic transport domain
T311	TIGR00975	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T311	COG0226	ABC-type phosphate transport system, periplasmic component
T312	PF07931	Chloramphenicol phosphotransferase-like protein
T312	COG3896	Chloramphenicol 3-O-phosphotransferase
T313	PF16166	Chloroplast import apparatus Tic20-like
T313	TIGR00994	3a0901s05TIC20: chloroplast protein import component, Tic20 family
T314	PF03773	Predicted permease
T314	COG0701	Predicted permeases
T315	PF08566	Mitochondrial import protein Pam17
T316	PF08449	UAA transporter family
T317	COG4597	ABC-type amino acid transport system, permease component
T251	PF02386	Cation transport protein
T251	TIGR00933	2a38: potassium uptake protein, TrkH family
T251	TIGR00934	2a38euk: potassium uptake protein, Trk family
T251	COG0168	Trk-type K+ transport systems, membrane components
T250	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus
T250	TIGR00844	c_cpa1: sodium/hydrogen antiporter
T253	TIGR00935	2a45: arsenite/antimonite efflux pump membrane protein
T252	PF10140	WXG100 protein secretion system (Wss), protein YukC
T252	TIGR03926	T7_EssB: type VII secretion protein EssB
T255	PF07970	Endoplasmic reticulum vesicle transporter
T254	PF16185	Mitochondrial ABC-transporter N-terminal five TM region
T254	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
T257	PF00375	Sodium:dicarboxylate symporter family
T257	COG1301	Na+/H+-dicarboxylate symporters
T256	PF06558	Secretion monitor precursor protein (SecM)
T269	PF09930	Predicted transporter (DUF2162)
T269	PF03824	High-affinity nickel-transport protein
T269	COG2215	ABC-type uncharacterized transport system, permease component
T138	PF01514	Secretory protein of YscJ/FliF family
T138	TIGR02544	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
T138	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein
T138	COG4669	Type III secretory pathway, lipoprotein EscJ
T139	TIGR00881	2A0104: phosphoglycerate transporter family protein
T139	TIGR00712	glpT: glycerol-3-phosphate transporter
T139	COG2271	Sugar phosphate permease
T428	COG4525	ABC-type taurine transport system, ATPase component
T429	TIGR03258	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
T130	PF12538	DNA transporter
T130	TIGR03928	T7_EssCb_Firm: type VII secretion protein EssC
T131	TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein
T131	COG3840	ABC-type thiamine transport system, ATPase component
T132	TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
T132	COG4143	ABC-type thiamine transport system, periplasmic component
T133	PF09794	Transport protein Avl9
T134	PF03814	Potassium-transporting ATPase A subunit
T134	TIGR00680	kdpA: K+-transporting ATPase, A subunit
T134	COG2060	K+-transporting ATPase, A chain
T135	PF03169	OPT oligopeptide transporter protein
T135	TIGR00733	TIGR00733: oligopeptide transporter, OPT family
T135	TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily
T135	TIGR00727	ISP4_OPT: small oligopeptide transporter, OPT family
T136	TIGR03227	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
T136	COG1840	ABC-type Fe3+ transport system, periplasmic component
T137	TIGR00771	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
T137	COG3069	C4-dicarboxylate transporter
T98	PF11612	Type II secretion system (T2SS), protein J
T98	TIGR01711	gspJ: type II secretion system protein J
T99	PF12911	N-terminal TM domain of oligopeptide transport permease C
T99	TIGR02790	nickel_nikC: nickel ABC transporter, permease subunit NikC
T99	COG4171	ABC-type antimicrobial peptide transport system, permease component
T99	COG1173	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
T94	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)
T94	COG2067	Long-chain fatty acid transport protein
T225	COG4138	ABC-type cobalamin transport system, ATPase component
T226	COG4136	ABC-type uncharacterized transport system, ATPase component
T97	COG1176	ABC-type spermidine/putrescine transport system, permease component I
T90	TIGR00833	actII: transport protein
T221	PF12558	ATP-binding cassette cobalt transporter
T221	TIGR04520	ECF_ATPase_1: energy-coupling factor transporter ATPase
T221	TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein
T221	TIGR04521	ECF_ATPase_2: energy-coupling factor transporter ATPase
T221	COG1122	ABC-type cobalt transport system, ATPase component
T222	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
T93	PF03222	Tryptophan/tyrosine permease family
T93	PF01490	Transmembrane amino acid transporter protein
T93	TIGR00814	stp: serine transporter
T93	TIGR00837	araaP: aromatic amino acid transport protein
T93	COG0814	Amino acid permeases
T277	TIGR00924	yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
T277	TIGR00926	2A1704: oligopeptide transporter, peptide:H+ symporter
T277	COG3104	Dipeptide/tripeptide permease
T276	PF07155	ECF-type riboflavin transporter, S component
T207	COG1226	Kef-type K+ transport systems, predicted NAD-binding component
T279	TIGR02122	TRAP_TAXI: TRAP transporter solute receptor, TAXI family
T279	COG2358	TRAP-type uncharacterized transport system, periplasmic component
T278	PF02374	Anion-transporting ATPase
T278	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
T42	PF03082	Male accessory gland secretory protein
T260	PF09392	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
T260	TIGR02105	III_needle: type III secretion apparatus needle protein
T261	COG1463	ABC-type transport system involved in resistance to organic solvents, periplasmic component
T262	PF01298	Transferrin binding protein-like solute binding protein
T263	PF02553	Cobalt transport protein component CbiN
T263	TIGR01165	cbiN: cobalt transport protein
T263	COG1930	ABC-type cobalt transport system, periplasmic component
T264	PF04143	Sulphur transport
T265	TIGR01000	bacteriocin_acc: bacteriocin secretion accessory protein
T266	PF02690	Na+/Pi-cotransporter
T266	TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
T266	TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter
T266	COG1283	Na+/phosphate symporter
T267	PF03821	Golgi 4-transmembrane spanning transporter
T267	TIGR00799	mtp: Golgi 4-transmembrane spanning transporter
T181	PF17099	Tryptophan transporter TrpP
T180	TIGR03265	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
T180	TIGR01187	potA: polyamine ABC transporter, ATP-binding protein
T180	COG3842	ABC-type spermidine/putrescine transport systems, ATPase components
T52	PF01545	Cation efflux family
T52	PF16916	Dimerisation domain of Zinc Transporter
T52	TIGR01297	CDF: cation diffusion facilitator family transporter
T52	COG0053	Predicted Co/Zn/Cd cation transporters
T52	COG1230	Co/Zn/Cd efflux system component
T182	COG4152	ABC-type uncharacterized transport system, ATPase component
T185	PF08817	WXG100 protein secretion system (Wss), protein YukD
T185	TIGR03920	T7SS_EccD: type VII secretion integral membrane protein EccD
T184	TIGR01191	ccmC: heme exporter protein CcmC
T184	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component
T187	TIGR02634	xylF: D-xylose ABC transporter, D-xylose-binding protein
T187	COG4213	ABC-type xylose transport system, periplasmic component
T186	COG4215	ABC-type arginine transport system, permease component
T349	COG1886	Flagellar motor switch/type III secretory pathway protein
T348	COG1653	ABC-type sugar transport system, periplasmic component
T347	PF00520	Ion transport protein
T347	PF08412	Ion transport protein N-terminal
T347	PF06512	Sodium ion transport-associated
T346	PF02136	Nuclear transport factor 2 (NTF2) domain
T345	PF06516	Purine nucleoside permease (NUP)
T344	PF03401	Tripartite tricarboxylate transporter family receptor
T343	TIGR02139	permease_CysT: sulfate ABC transporter, permease protein CysT
T342	COG4174	ABC-type uncharacterized transport system, permease component
T341	TIGR02135	phoU_full: phosphate transport system regulatory protein PhoU
T341	COG0704	Phosphate uptake regulator
T340	PF10498	Intra-flagellar transport protein 57
T167	PF09483	Type III secretion protein (HpaP)
T167	TIGR02557	HpaP: type III secretion protein HpaP
T166	PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)
T166	TIGR02555	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
